# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
PSR B1620-26 b,2.5,,36525.0,23.0,,,0.006053,R,1994,2010-12-23,,,pulsar,,PSR B1620-26,16:23:38.0,-26:31:53,24.0,,,,,3800.0,,1.95,,,,
Qatar-1 b,1.09,1.164,1.420033,0.02343,0.0,83.47,,S,2010,2010-12-24,,,detected by transit,,Qatar-1,20:13:32.0,+65:09:43,12.84,,,,,,0.2,0.85,0.823,K,4.0,4861.0
Qatar-2 b,2.487,1.144,1.3371182,0.02149,0.0,88.3,,C,2011,2011-10-28,,,detected by transit,,Qatar-2,13:50:37.0,-06:48:14,13.3,,,,,,0.0,0.74,0.713,K,,4645.0
RR Cae b,4.2,,4350.0,5.3,0.0,,,R,2012,2012-01-23,,,pulsar,,RR Cae,04:21:06.0,-48:39:07,14.4,,,,,,,0.622,,DAZ8+dM,,
Ross 458(AB) c,8.5,,,1168.0,,,10.245614,R,2010,2011-08-11,,,detected by imaging,,Ross 458(AB),13:00:47.0,+12:22:33,9.76,,,,,114.0,,0.6,,M2V,0.475,
SR 12 AB c,13.0,,,1083.0,,,8.664,R,2011,2011-03-08,,,detected by imaging,,SR 12 AB,16:27:20.0,-24:41:40,13.28,,,,,125.0,,,,K4-M2.5,0.001,
SWEEPS-04 ,3.8,0.81,4.2,0.055,,87.0,6e-06,R,2006,2007-11-26,,,detected by transit,,SWEEPS-04,17:58:54.0,-29:11:21,18.8,,,,,8500.0,,1.24,1.18,,,
SWEEPS-11 ,9.7,1.13,1.796,0.03,,84.0,4e-06,R,2006,2007-11-26,,,detected by transit,,SWEEPS-11,17:59:03.0,-29:11:54,19.83,,,,,8500.0,,1.1,1.45,,,
TrES-1 ,0.761,1.099,3.0300722,0.0393,0.0,88.4,0.00025,R,2004,2011-02-09,,,detected by transit,,TrES-1,19:04:09.0,+36:37:57,11.79,,,,,157.0,0.001,0.88,0.85,K0V,2.5,
TrES-2 ,1.253,1.169,2.470613402,0.03556,0.0,83.874,0.000162,S,2006,2012-05-22,,,detected by transit,,TrES-2,19:07:14.0,+49:18:59,11.41,,,,,220.0,-0.15,0.98,1.0,G0V,5.1,5850.0
TrES-3 ,1.91,1.305,1.30618608,0.0226,0.0,82.15,,R,2007,2010-12-13,,,detected by transit,,TrES-3,17:52:07.0,+37:32:46,12.4,,,,,,-0.19,0.924,0.813,G,,5720.0
TrES-4 ,0.917,1.706,3.5539268,0.05084,0.0,82.81,0.000106,S,2007,2012-04-08,,,detected by transit,,TrES-4,17:53:13.0,+37:12:42,11.592,,,,,479.0,0.14,1.388,1.798,F,2.9,6200.0
TrES-5 ,1.778,1.209,1.4822446,0.02446,,84.529,6.8e-05,R,2011,2011-09-05,,,detected by transit,,TrES-5,20:20:53.0,+59:26:57,13.72,,,,,360.0,0.2,0.893,0.866,,7.38,5171.0
UScoCTIO 108 b,16.0,,,670.0,,,4.62069,R,2007,2011-12-14,,,detected by imaging,,UScoCTIO 108,16:05:54.0,-18:18:43,,15.65,14.42,15.07,,145.0,,0.057,,M7,0.011,2600.0
UZ For(ab) d,7.7,,1900.0,2.8,0.05,,,R,2011,2011-06-08,,,pulsar,,UZ For(ab),03:35:29.0,-25:44:22,18.2,,,,,,,0.84,,Catac. var.,,
V391 Peg b,3.2,,1170.0,1.7,0.0,,0.001214,R,2007,2007-09-14,,,pulsar,,V391 Peg,22:04:12.0,+26:25:08,14.57,,15.17,15.16,15.38,1400.0,,0.5,0.23,sdB,10.0,29300.0
WASP-1 b,0.86,1.484,2.5199464,0.0382,0.0,88.65,,S,2006,2011-06-15,,,detected by transit,,WASP-1,00:20:40.0,+31:59:24,11.79,,,,,,,1.24,1.382,F7V,,6200.0
WASP-10 b,3.06,1.08,3.0927616,0.0371,0.057,86.8,0.000412,C,2008,2008-12-02,2.737,,detected by transit,,WASP-10,23:15:58.0,+31:27:46,12.7,,,,,90.0,0.03,0.71,0.783,K5,0.8,4675.0
WASP-11_HAT-P-10 b,0.46,1.045,3.722469,0.0439,0.0,88.5,0.000351,S,2008,2008-11-27,,,detected by transit,,WASP-11/HAT-P-10,03:09:29.0,+30:40:25,11.89,,,,,125.0,0.13,0.82,0.81,K3V,11.2,4980.0
WASP-12 b,1.404,1.736,1.0914222,0.02293,0.0,86.0,5.4e-05,C,2008,2012-07-05,,,detected by transit,"CO, CH4",WASP-12,06:30:33.0,+29:40:20,11.69,11.03,10.48,10.23,10.19,427.0,0.3,1.35,1.599,G0,1.7,6300.0
WASP-13 b,0.485,1.365,4.353011,0.05379,0.0,85.64,0.000345,C,2008,2011-09-14,,,detected by transit,,WASP-13,09:20:25.0,+33:52:57,10.42,,,,,156.0,0.0,,,G1V,,5826.0
WASP-14 b,7.341,1.281,2.2437661,0.036,0.087,84.79,0.000225,R,2008,2012-04-08,-107.1,,detected by transit,,WASP-14,14:33:06.0,+21:53:41,9.75,,,,,160.0,0.0,1.211,1.306,F5V,0.75,6475.0
WASP-15 b,0.542,1.428,3.7520656,0.0499,0.0,85.5,0.000162,C,2008,2010-11-29,,,detected by transit,,WASP-15,13:55:43.0,-32:09:35,10.9,,,,,308.0,-0.17,1.18,1.477,F7,3.9,6300.0
WASP-16 b,0.855,1.008,3.1186009,0.0421,0.0,85.22,,R,2009,2012-07-05,,,detected by transit,,WASP-16,14:18:44.0,-20:16:32,11.3,,,,,,0.01,1.022,0.946,G3V,2.3,5550.0
WASP-17 b,0.486,1.991,3.735438,0.0515,0.028,86.83,,S,2009,2012-04-08,-82.6,,detected by transit,"Na, Na",WASP-17,15:59:51.0,-28:03:42,11.6,,,,,,-0.19,1.2,1.38,F4,3.0,6650.0
WASP-18 b,10.43,1.165,0.9414518,0.02047,0.0088,86.0,0.000205,R,2009,2012-07-05,-91.0,,detected by transit,,WASP-18,01:37:25.0,-45:40:40,9.3,,,,,100.0,0.0,1.24,1.23,F6,0.63,6400.0
WASP-19 b,1.168,1.386,0.78884,0.01655,0.0046,79.4,,R,2009,2012-07-05,3.0,,detected by transit,,WASP-19,09:53:40.0,-45:39:33,12.3,,,,,,0.02,0.97,0.99,G8V,0.6,5500.0
WASP-2 b,0.847,1.079,2.15222144,0.03138,0.0,84.73,0.000218,S,2006,2011-06-15,,,detected by transit,,WASP-2,20:30:54.0,+06:25:46,11.98,,,,,144.0,-0.08,0.84,0.834,K1V,,5150.0
WASP-20 b,0.3,0.9,4.0,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-20,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-21 b,0.3,1.21,4.322506,0.052,0.0,87.29,0.000226,S,2010,2011-06-13,,,detected by transit,,WASP-21,23:09:58.0,+18:23:46,11.6,,,,,230.0,-0.4,1.01,1.06,G3V,,5800.0
WASP-22 b,0.588,1.158,3.5327313,0.04698,0.0,88.26,0.000157,R,2010,2011-07-01,,,detected by transit,,WASP-22,03:31:16.0,-23:49:11,12.0,,,,,300.0,-0.05,1.1,1.13,,,6000.0
WASP-23 b,0.884,0.962,2.9444256,0.0376,0.062,88.39,,C,2010,2011-03-24,,,detected by transit,,WASP-23,06:44:31.0,-42:45:43,12.7,,,,,,,0.78,0.765,K1V,,5150.0
WASP-24 b,1.032,1.104,2.3412083,0.0359,0.0,83.64,0.000109,W,2010,2010-11-29,,,detected by transit,,WASP-24,15:08:52.0,+02:20:36,11.3,,,,,330.0,0.07,1.129,1.147,F8-9,1.6,6075.0
WASP-25 b,0.58,1.26,3.76483,0.0474,0.0,87.7,0.00028,W,2010,2012-03-23,,,detected by transit,,WASP-25,13:01:26.0,-27:31:20,11.9,,,,,169.0,-0.05,1.0,0.95,G4,,5750.0
WASP-26 b,1.028,1.281,2.7566004,0.03985,0.0,82.91,0.000159,R,2010,2012-07-05,,,detected by transit,,WASP-26,00:18:25.0,-15:16:02,11.3,,,,,250.0,-0.02,1.12,1.34,G0,6.0,5950.0
WASP-28 b,0.91,1.12,3.408821,0.0455,0.046,89.1,0.000136,S,2010,2010-04-20,,,detected by transit,,WASP-28,23:34:28.0,-01:34:48,12.0,,,,,334.0,-0.29,1.08,1.05,F8-G0,,6100.0
WASP-29 b,0.244,0.792,3.922727,0.0457,0.03,88.8,0.000571,S,2010,2010-09-28,,,detected by transit,,WASP-29,23:51:31.0,-39:54:24,11.3,,,,,80.0,0.11,0.825,0.846,K4V,15.0,4800.0
WASP-3 b,2.06,1.454,1.8468372,0.0313,0.0,85.06,0.00014,C,2007,2011-06-23,,,detected by transit,,WASP-3,18:34:32.0,+35:39:42,10.64,,,,,223.0,0.0,1.24,1.31,F7V,,6400.0
WASP-31 b,0.478,1.537,3.405909,0.04657,0.0,84.54,0.000116,R,2010,2012-07-05,,,detected by transit,,WASP-31,11:17:45.0,-19:03:17,11.7,,,,,400.0,-0.19,1.16,1.24,F,,6200.0
WASP-32 b,3.6,1.18,2.71865,0.0394,0.018,85.3,,R,2010,2010-10-11,160.0,,detected by transit,,WASP-32,00:15:51.0,+01:12:02,11.3,,,,,,-0.13,1.1,1.11,G,,6100.0
WASP-33 b,4.59,1.438,1.21986967,0.02558,0.0,87.67,0.000221,W,2010,2012-04-08,,,detected by transit,,WASP-33,02:26:51.0,+37:33:02,8.3,,,,,116.0,0.1,1.495,1.444,A5,,7400.0
WASP-34 b,0.59,1.22,4.3176782,0.0524,0.038,85.2,0.000437,R,2010,2010-12-13,-40.2,,detected by transit,,WASP-34,11:01:36.0,-23:51:38,10.4,,,,,120.0,-0.02,1.01,0.93,G5,,5700.0
WASP-35 b,0.72,1.32,3.161575,0.04317,0.0,87.96,,C,2011,2011-04-15,,,detected by transit,,WASP-35,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-36 b,2.279,1.269,1.5373653,0.02624,0.0,83.65,5.8e-05,C,2010,2011-10-25,,,detected by transit,,WASP-36,08:45:19.0,-08:01:37,12.7,,,,,450.0,-0.31,1.02,0.943,G2,3.0,5881.0
WASP-37 b,1.696,1.136,3.577471,0.04339,0.0,88.78,0.000128,S,2010,2010-08-19,,,detected by transit,,WASP-37,14:47:47.0,+01:03:54,12.7,,,,,338.0,-0.4,0.849,0.977,G2,11.0,5800.0
WASP-38 b,2.712,1.079,6.871815,0.07551,0.0321,88.69,0.000686,R,2010,2012-04-08,-19.0,,detected by transit,,WASP-38,16:15:50.0,+10:01:57,9.42,,,,,110.0,-0.12,1.216,1.365,F8,5.0,6150.0
WASP-39 b,0.28,1.27,4.055259,0.0486,0.0,87.83,0.000211,R,2011,2011-09-08,,,detected by transit,,WASP-39,14:29:18.0,-03:26:40,12.11,,,,,230.0,-0.12,0.93,0.895,G8,,5400.0
WASP-4 b,1.1215,1.363,1.33823187,0.02312,0.0,88.8,7.7e-05,W,2007,2011-04-04,,,detected by transit,,WASP-4,23:34:15.0,-42:03:41,12.6,,,,,300.0,-0.03,0.93,1.15,G8,,5500.0
WASP-41 b,0.92,1.21,3.052394,0.04,0.0,87.3,0.000222,C,2010,2010-12-15,,,detected by transit,,WASP-41,00:00:00.0,+00:00:00,11.6,,,,,180.0,-0.08,0.95,1.01,G8V,,5450.0
WASP-42 b,0.5,1.08,4.9816872,0.0458,0.06,88.25,,R,2011,2012-05-15,167.0,,detected by transit,,WASP-42,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-43 b,2.034,1.036,0.81347753,0.01526,0.0035,82.33,,R,2011,2012-05-29,-32.0,,detected by transit,,WASP-43,10:19:38.0,-09:48:23,12.4,,,,,,-0.01,0.717,0.667,K7V,0.4,4520.0
WASP-44 b,0.889,1.14,2.4238039,0.03473,0.0,86.02,,R,2011,2011-05-17,,,detected by transit,,WASP-44,00:15:37.0,-11:56:17,12.9,,,,,,0.06,0.951,0.927,G8V,0.9,5410.0
WASP-45 b,1.007,1.16,3.1260876,0.04054,0.0,84.47,,R,2011,2011-05-17,,,detected by transit,,WASP-45,00:20:57.0,-35:59:54,12.0,,,,,,0.36,0.909,0.945,K2V,1.4,5140.0
WASP-46 b,2.101,1.31,1.43037,0.02448,0.0,82.63,,R,2011,2011-05-17,,,detected by transit,,WASP-46,21:14:57.0,-55:52:18,12.9,,,,,,-0.37,0.956,0.917,G6V,1.4,5620.0
WASP-47 b,1.14,1.15,4.1591399,0.052,0.0,89.2,0.00026,R,2011,2012-04-24,,,detected by transit,,WASP-47,22:04:49.0,-12:01:08,11.9,,,,,200.0,0.18,1.084,1.15,G9V,,5400.0
WASP-48 b,0.98,1.67,2.143634,0.03444,0.0,80.09,,R,2011,2011-04-15,,,detected by transit,,WASP-48,19:24:39.0,+55:28:23,11.06,,,,,,-0.12,1.19,1.75,,,5990.0
WASP-49 b,0.378,1.115,2.7817387,0.0378,,84.89,,R,2011,2012-05-15,,,detected by transit,,WASP-49,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-5 b,1.637,1.171,1.6284246,0.02729,0.0,85.8,9.2e-05,C,2007,2010-11-29,,,detected by transit,,WASP-5,23:57:24.0,-41:16:38,12.26,,,,,297.0,0.09,1.0,1.084,G5,3.0,5700.0
WASP-50 b,1.468,1.153,1.9550959,0.02945,0.009,84.74,0.000128,R,2011,2011-09-02,44.0,,detected by transit,,WASP-50,02:54:45.0,-10:53:53,11.6,,,,,230.0,-0.12,0.892,0.843,G9,,5400.0
WASP-52 b,0.5,1.3,1.7,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-52,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-53 b,2.5,1.2,3.3,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-53,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-54 b,0.6,1.4,3.7,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-54,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-55 b,0.57,1.3,4.465633,0.0533,0.0,89.2,0.000162,R,2011,2012-04-24,,,detected by transit,,WASP-55,13:55:02.0,-17:30:13,11.8,,,,,330.0,-0.2,1.01,1.06,,,5900.0
WASP-56 b,0.6,1.2,4.6,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-56,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-57 b,0.8,1.1,2.8,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-57,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-58 b,1.1,1.3,5.0,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-58,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-59 b,0.7,0.9,7.9,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-59,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-6 b,0.503,1.224,3.361006,0.0421,0.054,88.47,0.000137,C,2008,2012-04-08,1.7,,detected by transit,,WASP-6,23:12:38.0,-22:40:26,12.4,,,,,307.0,-0.2,0.888,0.87,G8,11.0,5450.0
WASP-60 b,0.5,0.9,4.3,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-60,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-61 b,2.06,1.24,3.8559,0.0514,0.0,89.35,0.000107,R,2011,2012-04-24,,,detected by transit,,WASP-61,05:01:12.0,-26:03:15,12.5,,,,,480.0,-0.1,1.22,1.36,F7,,6250.0
WASP-62 b,0.57,1.39,4.411953,0.0567,0.0,88.3,0.000354,R,2011,2012-04-24,,,detected by transit,,WASP-62,05:48:34.0,-63:59:18,10.3,,,,,160.0,0.04,1.25,1.28,F7,,6230.0
WASP-63 b,0.38,1.43,4.37809,0.574,0.0,87.8,0.001739,R,2011,2012-04-24,,,detected by transit,,WASP-63,06:17:21.0,-38:19:24,11.2,,,,,330.0,0.08,1.32,1.88,G8,,5550.0
WASP-64 b,1.2,0.7,1.6,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-64,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-65 b,1.6,1.3,2.3,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-65,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-66 b,2.32,1.39,4.086052,0.0546,0.0,85.9,0.000144,R,2011,2012-04-24,,,detected by transit,,WASP-66,10:32:54.0,-34:59:23,11.6,,,,,380.0,-0.31,1.3,1.75,F4,,6600.0
WASP-67 b,0.42,1.4,4.61442,0.0517,0.0,85.8,0.00023,R,2011,2012-04-24,,,detected by transit,,WASP-67,19:42:59.0,-19:56:58,12.5,,,,,225.0,-0.07,0.87,0.87,kov,,5200.0
WASP-68 b,0.8,0.9,5.1,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-68,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-69 b,0.3,1.0,3.9,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-69,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-7 b,0.96,1.33,4.9546416,0.0617,0.0,87.03,0.000441,C,2008,2012-04-08,,,detected by transit,,WASP-7,20:44:10.0,-39:13:31,9.51,,,,,140.0,0.0,1.276,1.432,F5V,2.4,6400.0
WASP-70 b,0.6,0.8,3.7,,,,,C,2011,2011-09-13,,,detected by transit,,WASP-70,00:00:00.0,+00:00:00,,,,,,,,,,,,
WASP-78 b,1.16,1.75,2.17517656,0.0415,0.0,89.0,7.5e-05,S,2012,2012-06-07,,,detected by transit,,WASP-78,04:15:02.0,-22:06:59,12.0,,,,,550.0,-0.35,2.02,2.31,F8,,6100.0
WASP-79 b,0.89,1.7,2.17517632,0.0362,0.0,83.2,0.000151,S,2012,2012-06-07,,,detected by transit,,WASP-79,04:25:29.0,-30:36:02,10.1,,,,,240.0,0.03,1.56,1.64,F3,,6600.0
WASP-8 b,2.244,1.038,8.158715,0.0801,0.31,88.55,0.000921,S,2008,2012-04-08,-85.73,,detected by transit,,WASP-8,23:59:36.0,-35:01:53,9.9,,,,,87.0,0.17,1.033,0.953,G6,4.0,5600.0
WD 0806-661B b,8.0,,,2500.0,,,130.208333,R,2011,2011-04-22,,,detected by imaging,,WD 0806-661B,08:06:54.0,-66:18:17,,,,,,19.2,,0.62,,DQ D,1.5,
XO-1 b,0.9,1.184,3.9415128,0.0488,0.0,89.31,0.000244,R,2006,2010-10-11,,,detected by transit,,XO-1,16:02:12.0,+28:10:11,11.3,,,,,200.0,,1.0,0.928,G1V,4.5,
XO-2 b,0.62,0.973,2.615838,0.0369,0.045,88.7,0.000248,C,2007,2011-10-28,,,detected by transit,K,XO-2,07:48:07.0,+50:13:33,11.18,,,,,149.0,0.45,0.98,0.964,K0V,2.0,5340.0
XO-3 b,11.79,1.217,3.1915239,0.0454,0.26,84.2,0.000175,C,2007,2012-04-08,345.8,2454024.84,detected by transit,,XO-3,04:21:53.0,+57:49:01,9.8,9.28,9.01,8.85,8.79,260.0,-0.177,1.213,1.377,F5V,2.82,6429.0
XO-4 b,1.72,1.34,4.1250823,0.0555,0.0,88.7,0.000189,S,2008,2011-11-28,,,detected by transit,,XO-4,07:21:33.0,+58:16:05,10.7,,9.67,9.48,9.41,293.0,-0.04,1.32,1.55,F5V,2.1,5700.0
XO-5 b,1.077,1.03,4.1877537,0.0487,0.0,86.8,0.000191,S,2008,2011-03-08,,,detected by transit,,XO-5,07:46:52.0,+39:05:41,12.13,,10.77,10.44,,255.0,0.18,0.88,1.06,G8V,8.5,5510.0
alf Ari b,1.8,,380.8,1.2,0.25,,0.059406,R,2011,2011-04-19,89.16,2451213.52,detected by radial velocity,,alf Ari,02:07:10.0,+23:27:44,2.01,,,,,20.2,-0.09,1.5,13.9,K2III,,4553.0
beta Pic b,8.0,,7300.0,8.5,0.17,88.5,0.440415,R,2008,2012-02-14,,,detected by imaging,,beta Pic,05:47:17.0,-51:03:59,3.86,,,,,19.3,,1.8,,A6V,0.012,
eps Eridani b,1.55,,2502.0,3.39,0.702,30.1,1.059375,R,2000,2010-10-19,47.0,54207.0,detected by radial velocity,,eps Eridani,03:32:55.0,-09:27:29,3.73,,,,,3.2,-0.13,0.83,0.895,K2 V,0.66,5116.0
eps Tau b,7.6,,594.9,1.93,0.151,,0.042889,R,2007,2007-02-07,94.4,2879.0,detected by radial velocity,,eps Tau,04:28:37.0,+19:10:50,3.53,,,,,45.0,0.17,2.7,13.7,K0 III,0.625,4901.0
gamma 1 Leo b,8.78,,428.5,1.19,0.144,172.1,0.030909,R,2009,2011-01-11,206.7,2451236.0,detected by radial velocity,,gamma 1 Leo,10:19:58.0,+19:50:29,2.01,,,,,38.5,-0.51,1.23,31.88,K0III,,4330.0
gamma Cephei b,1.85,,903.3,2.05,0.049,5.7,0.148658,R,2003,2011-01-14,94.6,53147.0,detected by radial velocity,,gamma Cephei,23:39:20.0,+77:37:56,3.22,,,,,13.79,0.18,1.4,4.9,K1III-IV,6.6,4800.0
kappa CrB b,1.8,,1191.0,2.7,0.19,,0.086817,R,2007,2007-11-30,34.0,2453128.0,detected by radial velocity,,kappa CrB,15:51:14.0,+35:39:27,4.79,,3.04,2.04,2.42,31.1,0.14,1.8,4.71,K1IVa,2.5,4960.0
ksi Aql b,2.8,,136.75,0.68,0.0,,0.010845,R,2008,2008-02-20,,3001.7,detected by radial velocity,,ksi Aql,19:54:15.0,+08:27:41,4.72,,2.85,2.37,2.17,62.7,-0.205,2.2,12.0,G9IIIb,,4780.0
mu Ara b,1.676,,643.25,1.5,0.128,,0.098039,R,2000,2009-04-02,22.0,2452365.6,detected by radial velocity,,mu Ara,17:44:08.0,-51:50:02,5.15,,,,,15.3,0.28,1.08,1.245,G3 IV-V,6.41,5700.0
mu Ara c,0.03321,,9.6386,0.09094,0.172,,0.005944,R,2004,2009-04-02,212.7,2452991.1,detected by radial velocity,,mu Ara,17:44:08.0,-51:50:02,5.15,,,,,15.3,0.28,1.08,1.245,G3 IV-V,6.41,5700.0
mu Ara d,0.5219,,310.55,0.921,0.0666,,0.060196,R,2004,2009-04-02,189.6,2452708.7,detected by radial velocity,,mu Ara,17:44:08.0,-51:50:02,5.15,,,,,15.3,0.28,1.08,1.245,G3 IV-V,6.41,5700.0
mu Ara e,1.814,,4205.8,5.235,0.0985,,0.342157,R,2006,2009-04-02,57.6,2452955.2,detected by radial velocity,,mu Ara,17:44:08.0,-51:50:02,5.15,,,,,15.3,0.28,1.08,1.245,G3 IV-V,6.41,5700.0
nu Oph b,22.3,,536.0,1.8,0.13,,0.038462,C,2004,2011-01-05,,,detected by radial velocity,,nu Oph,17:59:02.0,-09:46:25,3.33,,,,,46.8,,2.7,,G9III,,
nu Oph c,24.5,,3169.0,5.88,0.18,,0.125641,C,2010,2011-01-05,,,detected by radial velocity,,nu Oph,17:59:02.0,-09:46:25,3.33,,,,,46.8,,2.7,,G9III,,
tau Boo b,5.95,,3.3135,0.046,0.023,44.5,0.002949,R,1996,2012-07-05,188.0,,detected by radial velocity,,tau Boo,13:47:17.0,+17:27:22,4.5,,,,,15.6,0.28,1.3,1.331,F7 V,2.52,6309.0
tau Gem b,18.1,,305.0,,,,,C,2004,2011-01-03,,,detected by radial velocity,,tau Gem,07:11:08.0,+30:14:43,4.4,,,,,92.25,,,,K2III,,
ups And b,0.69,,4.617136,0.059,0.013,30.0,0.00438,R,1996,2010-10-19,51.0,4425.02,detected by radial velocity,,ups And,01:36:48.0,+41:24:38,4.09,,,,,13.47,0.09,1.27,1.631,F8 V,3.8,6212.0
ups And c,14.57,,237.7,0.861,0.24,8.0,0.06392,R,1999,2011-05-11,250.8,49956.109,detected by radial velocity,,ups And,01:36:48.0,+41:24:38,4.09,,,,,13.47,0.09,1.27,1.631,F8 V,3.8,6212.0
ups And d,10.19,,1302.61,2.55,0.274,24.0,0.18931,R,1999,2011-05-11,240.8,50008.57,detected by radial velocity,,ups And,01:36:48.0,+41:24:38,4.09,,,,,13.47,0.09,1.27,1.631,F8 V,3.8,6212.0
ups And e,1.059,,3848.86,5.2456,0.00536,,0.389428,R,2010,2010-12-02,367.3,,detected by radial velocity,,ups And,01:36:48.0,+41:24:38,4.09,,,,,13.47,0.09,1.27,1.631,F8 V,3.8,6212.0
