010001 |R     And *|002402.0+383437 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|
210205 |GW    Cet *|012848.3-112713 |RRAB      | 12.4    |  13.9      |            |V |52519.796   |     |     0.516648       |30 : |                 |80001 GSC  | NL80_1
210208 |GZ    Cet *|013701.1-091234 |UGSU      | 12.4    |  18.6      |            |V |            |     |                    |     |pec(e)+M         |80090 80027| NL80_1
210212 |HL    Cet  |015752.3-053203 |RRC       | 11.8    |  12.3      |            |V |51870.083   |     |     0.301467       |40   |                 |80002 GSC  | NL80_1
210214 |HN    Cet  |021952.3+091648 |RRAB      | 12.3    |  13.2      |            |V |51932.40    |     |     0.462674       |30   |                 |80002 GSC  | NL80_1
210215 |HO    Cet  |023321.4-104705 |UGSU      | 12.02   |  19.0      |            |V |            |     |                    |     |                 |80118 80118| NL80_1
210218 |HR    Cet  |024236.2+071726 |RS        |  8.83   |   9.10     |            |V |            |     |    52.84           |     |K0               |80034 DM   | NL80_1
210219 |HS    Cet *|024644.5+010755 |EA        | 10.5    |  11.1      |  11.1      |V |53381.240   |     |     3.6910         |08   |                 |80002 DM   | NL80_1
210220 |HT    Cet  |030328.2+061336 |GDOR      |  7.06   |(  0.02    )|            |B |            |     |     1.0833         |     |F2               |80130 HIP  | NL80_1
210223 |HW    Cet  |031234.3+094457 |RS        | 10.10   |  10.52     |            |V |            |     |     6.209          |     |                 |80034 DM   | NL80_1
219001 |alf   Cet  |030216.8+040523 |LB:       |  2.45   |   2.54     |            |V |            |     |                    |     |M2III            |06994 BD   |
219004 |del   Cet *|023929.0+001943 |BCEP      |  4.05   |   4.10     |            |V |38338.4763  |     |     0.16113668     |     |B2IV             |08935 BD   |
2190101|kap 1 Cet  |031921.7+032213 |BY        |  4.95   |   4.99     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
219015 |omi   Cet *|021920.8-025840 |M         |  2.0    |  10.1      |            |V |44839.      |     |   331.96           |38   |M5e-M9e          |00001 00002|
220001 |R     Cha  |082146.5-762118 |M         |  7.5    |  14.2      |            |V |42006.      |     |   334.58           |41   |M4e-M7e          |00001 00002|
220002 |S     Cha *|133313.7-773410 |CST       |  6.51   |            |            |V |            |     |                    |     |F5V              |00207 CPD  |
220003 |T     Cha *|115713.5-792132 |INSB      | 10.09   |  14.0      |            |V |            |     |                    |     |F5               |02412 03508|
220004 |U     Cha  |134826.7-823927 |M         | 11.0    |< 13.5      |            |p |23210.      |     |   341.3            |     |                 |00031 GSC  |
220005 |V     Cha  |074635.3-780110 |M         | 12.     |< 14.       |            |p |            |     |                    |     |M5e              |00085 04256|
220006 |W     Cha  |082822.2-763343 |M         | 12.     |  16.       |            |p |39317.      |     |   286.3            |     |                 |06055 02385|
220007 |X     Cha  |103822.5-804646 |M         | 10.8    |  17.       |            |p |            |     |                    |     |Me               |00085 02385|
220008 |Y     Cha  |112536.5-770035 |M         | 11.3    |  16.       |            |p |            |     |                    |     |Me               |00085 02385|
220009 |Z     Cha *|080728.2-763201 |UGSU+EA   | 11.5    |  16.23     |            |V |            |     |(  104.1          ) |     |pec(UG)          |06494 08852|
220011 |RS    Cha *|084312.2-790412 |EA+DSCT   |  6.02   |   6.68     |   6.53     |V |42850.7688  |     |     1.669870       |15  *|A5V+A7V          |04293 CPD  |
220013 |RU    Cha  |101429.9-811944 |M         | 11.4    |  16.2      |            |p |            |     |                    |     |                 |08727 04001|
220018 |RZ    Cha *|104224.1-820214 |EA/DM     |  8.2    |   9.1      |   8.8      |p |41401.7711  |     |     2.832084       |11  *|F5+F5V           |04302 CPD  |
220025 |SY    Cha *|105630.5-771140 |INSB      | 12.2    |  15.0      |            |p |            |     |                    |     |K2Ve             |04159 04068|
220032 |TY    Cha  |110206.4-815312 |M         | 11.5    |< 16.5      |            |p |            |     |                    |     |                 |04001 04001|
220044 |VZ    Cha *|110924.3-762321 |INS       | 12.4    |  15.54     |            |B |            |     |                    |     |ea               |04462 04068|
220053 |YZ    Cha *|113409.1-774435 |EA/DM     | 11.15   |(  0.4     )|(  0.4     )|B |42145.881   |     |     4.457357       |     |A0               |07002 04001|
220099 |BV    Cha  |130221.2-794526 |CWB       | 12.4    |  13.4      |            |p |38472.320   |     |     1.238          |25   |                 |05449 04001|
220100 |BW    Cha  |134016.9-782237 |EA/SD:    | 11.67   |(  0.8     )|            |B |28664.400   |     |     2.116255       |11  *|                 |05289 CPD  |
220101 |BX    Cha  |111950.6-762849 |M         | 12.5    |< 17.       |            |p |            |     |                    |     |                 |04001 04001|
220110 |CI    Cha  |110721.4-814737 |LB:       |  8.82   |   8.95     |            |V |            |     |                    |     |C                |06353 CPD  |
220111 |CK    Cha  |113323.8-772722 |M         | 11.     |< 13.1      |            |p |            |     |                    |     |Me               |04001 05254|
220118 |CR    Cha  |105907.0-770140 |INB       | 11.20   |  11.37     |            |V |            |     |                    |     |K2e              |06415 06415|
220119 |CS    Cha  |110224.9-773336 |INB       | 11.56   |  11.70     |            |V |            |     |                    |     |K5e              |08378 08390|
220120 |CT    Cha  |110409.7-762719 |INB       | 12.31   |  12.43     |            |V |            |     |                    |     |G8:ea            |08378 08390|
220121 |CU    Cha  |110803.3-773918 |INA       |  8.38   |   8.48     |            |V |            |     |                    |     |B9-A0Vpe         |08378 06415|
220122 |CV    Cha  |111227.7-764422 |INB       | 10.93   |  10.98     |            |V |            |     |                    |     |G8e(T:)          |06415 06415|
220132 |DI    Cha  |110720.7-773807 |INT       | 10.65   |  10.74     |            |V |            |     |                    |     |                 |70037 70009|
220133 |DK    Cha  |125317.1-770711 |INA       |  9.28   |  11.15     |            |J |            |     |                    |     |                 |72057 72058|
220134 |DL    Cha  |130608.6-770627 |SRB       | 12.3    |  13.3      |            |p |            |     |                    |     |                 |73105 73106|
220135 |DM    Cha  |085924.6-780534 |SRB       |  8.22   |   8.36     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220136 |DN    Cha  |090005.1-754332 |SRB       |  7.62   |   7.72     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220137 |DO    Cha  |090747.2-821930 |ELL:      |  7.74   |   7.78     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220138 |DP    Cha  |094724.3-810341 |SRB       |  7.84   |   7.98     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220139 |DQ    Cha  |103252.7-810947 |ACV       |  7.80   |   7.84     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220140 |DR    Cha  |104151.5-794700 |E         |  5.94   |   5.99     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220141 |DS    Cha  |111641.4-791553 |LB:       |  8.96   |   9.09     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220142 |DT    Cha  |114436.1-774903 |LB:       |  8.56   |   8.66     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220143 |DU    Cha  |114714.3-763705 |LB        |  7.10   |   7.55     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220144 |DV    Cha  |114930.6-760932 |ACV       |  9.93   |  10.07     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220145 |DW    Cha  |115828.2-775430 |BY:       | 10.64   |  10.83     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220146 |DX    Cha  |120005.1-781135 |IA:       |  6.59   |   6.70     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220147 |DY    Cha  |133912.0-754102 |LPB       |  6.32   |   6.34     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
220149 |EE    Cha  |115835.2-774932 |DSCT      |  7.04   |   7.15     |            |B |            |     |                    |     |                 |76116 DM   |
220150 |EF    Cha  |120705.5-784428 |DSCT      |  7.86   |   7.97     |            |B |            |     |                    |     |                 |76116 DM   |
220151 |EG    Cha  |083656.2-785646 |INT       | 10.61   |(  0.07    )|            |V |            |     |                    |     |                 |77073 77074|
220156 |EM    Cha  |084307.1-790453 |INT       | 10.84   |(  0.05    )|            |V |            |     |                    |     |                 |77073 77074|
220159 |EP    Cha  |084701.6-785934 |INT       | 11.13   |(  0.19    )|            |V |            |     |                    |     |                 |77073 77074|
220161 |ER    Cha  |100513.7-790344 |DSCTC     |  7.6    |(  0.08    )|            |B |            |     |                    |     |                 |77086 DM   |
220164 |EU    Cha  |092308.1-783641 |M         | 12.4    |< 15.2      |            |V |53133       |     |   228.             |     |                 |78040 USNO |
220165 |EV    Cha  |133252.5-761222 |M         | 11.1    |  14.0      |            |V |52731       |     |   166.             |     |Me               |78090 78133|
220166 |EW    Cha  |091402.6-821312 |EA        |  8.60   |   8.91     |   8.65     |V |52658.760   |     |     3.81876        |05   |A1V              |79011 DM   |
220167 |EX    Cha  |093325.7-785255 |M         | 11.2    |< 15.0      |            |V |52404.      |     |   238.             |     |                 |79064 79076|
220169 |EZ    Cha  |103909.0-775722 |LB        |  9.0    |  10.3      |            |V |            |     |                    |     |Mc               |79100 DM   |
220170 |FF    Cha  |104644.9-802614 |LB        |  9.6    |  10.7      |            |V |            |     |                    |     |                 |79100 79082|
220171 |FG    Cha  |105128.6-804640 |SRA       | 12.1    |  14.8      |            |V |53577.      |     |   176.             |     |                 |79064 79081|
220173 |FI    Cha  |110743.7-773941 |INT       |  8.22   |   8.39     |            |Ks|            |     |                    |     |M0.5e            |79088 79085|
220174 |FK    Cha  |110758.0-773845 |INT       |  6.83   |   7.33     |            |Ks|            |     |                    |     |K7e              |79088 79085|
220175 |FL    Cha  |110839.0-771604 |INT       |  8.83   |   9.22     |            |Ks|            |     |                    |     |K8e              |79088 79085|
220176 |FM    Cha  |110953.4-763426 |INT       |  9.22   |  10.20     |            |J |            |     |                    |     |K4-K6e           |79088 79085|
220177 |FN    Cha  |111004.7-763545 |INT       |  9.12   |   9.32     |            |Ks|            |     |                    |     |M0e              |79088 79088|
220178 |FO    Cha *|111049.6-771752 |INT       |  9.20   |   9.42     |            |Ks|            |     |                    |     |K7e              |79088 79085|
220179 |FP    Cha  |112405.9-755449 |SRA       | 11.3    |  12.6  :   |            |V |53774.      |     |   234.             |     |                 |79072 79063|
220180 |FQ    Cha  |113011.0-780703 |SRB       | 11.4    |  13.3      |            |V |            |     |   177.             |     |                 |79100 79063|
220181 |FR    Cha  |113522.8-815050 |SRB       | 11.3    |  12.6      |            |V |            |     |   144.             |     |                 |79100 79063|
220182 |FS    Cha  |115138.6-781154 |M         | 12.5    |< 14.6      |            |V |53574.      |     |   281.             |     |                 |79064 USNO |
220184 |FU    Cha  |120059.3-794600 |SRB       | 10.6    |  11.3      |            |V |            |     |    70.7            |     |                 |79064 79063|
220185 |FV    Cha  |123333.9-822628 |SRB       |  9.92   |  10.18     |            |V |            |     |    26.5            |     |                 |79064 79063|
220186 |FW    Cha  |124556.9-810008 |M         | 12.4    |< 15.0      |            |V |53798.      |     |   202.             |     |                 |79093 79093|
220189 |FZ    Cha  |130423.1-792738 |LB        | 11.1    |  12.3      |            |V |            |     |                    |     |                 |79100 79063|
220190 |GG    Cha  |132157.3-781043 |LB        |  8.0    |   8.9      |            |V |            |     |                    |     |M5III            |79100 DM   |
220191 |GH    Cha  |132927.8-790704 |SRB       |  9.2    |  10.1      |            |V |            |     |   280.             |     |                 |79100 DM   |
220192 |GI    Cha  |133625.5-793327 |SRB       | 12.1    |  13.3      |            |V |            |     |   276.             |     |                 |79064 79063|
220193 |GK    Cha  |133753.4-755022 |M         | 12.4    |< 14.1      |            |V |53851.      |     |   277.             |     |                 |79190 USNO |
220194 |GL    Cha  |134735.3-760715 |M         | 12.2    |< 14.5      |            |V |53895.      |     |   283.             |     |                 |79100 GSC  |
220195 |GM    Cha *|110928.6-763328 |INT       | 10.61   |  12.75     |            |Ks|            |     |                    |     |                 |80434 80434| NL80_2
220197 |GO    Cha *|093310.4-802834 |EW        | 10.64   |  10.97     |  10.95     |V |51868.118   |     |     0.406067       |     |                 |80036 GSC  | NL80_2
220198 |GP    Cha *|095357.6-763652 |RVB       | 11.0    |  13.0      |            |V |            |     |   100.6            |     |G0               |80184 GSC  | NL80_2
220200 |GR    Cha  |110347.6-771956 |INT       |  9.99   |  10.12     |            |Ks|            |     |                    |     |M5e              |80348 80349| NL80_2
220203 |GU    Cha  |110457.0-771557 |INT       | 10.20   |  11.23     |            |Ks|            |     |                    |     |M3e              |80348 80350| NL80_2
220205 |GW    Cha  |110637.9-791011 |E:        | 12.17   |  12.58     |            |Ks|            |     |                    |     |                 |80348 2MASS| NL80_2
220206 |GX    Cha  |110641.8-763549 |INT       | 10.09   |  10.28     |            |Ks|            |     |                    |     |M4.5e            |80348 80349| NL80_2
220208 |GZ    Cha  |110716.2-772307 |INB       | 11.34   |  11.75     |            |Ks|            |     |                    |     |M1               |80348 2MASS| NL80_2
220209 |HH    Cha  |110729.9-772502 |E:        | 10.84   |  11.20     |            |Ks|            |     |                    |     |A                |80348 2MASS| NL80_2
220213 |HM    Cha *|110757.3-771726 |INT       |  9.62   |   9.99     |            |Ks|            |     |                    |     |M1e              |80348 2MASS| NL80_2
220214 |HN    Cha *|110758.1-774241 |INT       |  9.76   |  10.07     |            |Ks|            |     |                    |     |M2.5e            |80348 80350| NL80_2
220215 |HO    Cha *|110803.0-773843 |INT       |  8.09   |   8.36     |            |Ks|            |     |                    |     |M1e              |80348 2MASS| NL80_2
220216 |HP    Cha *|110815.2-773353 |INT       |  6.07   |   6.36     |            |Ks|            |     |                    |     |K7e              |80348 80353| NL80_2
220219 |HS    Cha  |110855.0-763241 |INT       | 11.43   |  11.61     |            |Ks|            |     |                    |     |M5.5e            |80348 2MASS| NL80_2
220220 |HT    Cha  |110907.9-764911 |ISB:      | 11.50   |  11.92     |            |Ks|            |     |                    |     |M3               |80348 2MASS| NL80_2
220221 |HU    Cha  |110918.1-763029 |INT       |  9.10   |   9.36     |            |Ks|            |     |                    |     |M1e              |80348 80349| NL80_2
220222 |HV    Cha  |110922.7-763432 |INT       |  8.53   |   9.04     |            |Ks|            |     |                    |     |M1e              |80348 2MASS| NL80_2
220223 |HW    Cha  |110941.9-763458 |INB       |  9.93   |  10.15     |            |Ks|            |     |                    |     |                 |80348 2MASS| NL80_2
220224 |HX    Cha  |110954.1-762925 |INT       |  9.22   |   9.40     |            |Ks|            |     |                    |     |M2e              |80348 80350| NL80_2
220226 |HZ    Cha  |110955.1-763241 |INB       |  9.63   |  10.10     |            |Ks|            |     |                    |     |                 |80348 2MASS| NL80_2
220227 |II    Cha  |111003.8-755340 |E:        | 12.10   |  12.61     |            |Ks|            |     |                    |     |                 |80348 GSC  | NL80_2
220228 |IK    Cha  |111053.6-772501 |INT       | 10.80   |  11.50     |            |Ks|            |     |                    |     |M4.5e            |80348 2MASS| NL80_2
220229 |IL    Cha  |111134.8-763621 |INT       |  9.60   |   9.83     |            |Ks|            |     |                    |     |M2.5e            |80348 GSC  | NL80_2
220230 |IM    Cha  |111203.5-772601 |INT       | 11.45   |  12.04     |            |Ks|            |     |                    |     |M5e              |80348 80355| NL80_2
220231 |IN    Cha  |111209.8-763437 |INT       |  9.77   |   9.97     |            |Ks|            |     |                    |     |M5e              |80348 80350| NL80_2
220232 |IO    Cha  |111333.6-763537 |INT       | 10.65   |  10.86     |            |Ks|            |     |                    |     |M4.5e            |80348 80350| NL80_2
229006 |zet   Cha *|093353.4-805629 |          |  5.06   |   5.17     |            |V |            |     |                    |     |B5IV             |04614 CPD  |
230001 |R     Cir  |152753.6-574335 |SRB       | 10.2    |  12.1      |            |p |            |     |   222.             |     |M4/6III          |00023 08953|
230002 |S     Cir *|152917.4-580443 |EA/DS     | 10.8    |  12.1      |  10.9      |p |29117.474   |     |     9.976596       |15   |A:               |00007 CoD  |
230003 |T     Cir *|134324.0-652832 |EA/SD     |  9.3    |  10.6      |   9.4      |p |29095.586   |     |     3.2984345      |13   |B6/8II/III       |00007 06965|
230004 |U     Cir *|140542.4-670055 |SR        | 12.0    |  13.5      |            |p |23950.      |     |   145.             |     |C                |00047 00022|
230005 |V     Cir *|144454.7-570156 |EB/DM     | 10.8    |  11.3      |  11.0      |p |38499.325   |     |     4.40901        |     |                 |08040 CPD  |
230008 |Y     Cir  |133909.9-650211 |E/SD:     | 10.8    |  11.8      |            |p |25327.50    |     |     3.17           |     |                 |00047 00022|
230009 |Z     Cir  |135102.5-702823 |RCB:      | 12.0    |  15.0      |            |p |            |     |                    |     |Me               |03578 00022|
230010 |RR    Cir  |135034.6-665752 |E         | 12.0    |  13.0      |            |p |            |     |                    |     |                 |00047 00022|
230020 |ST    Cir  |140112.5-693224 |M         | 12.4    |  16.0  :   |            |p |25410.      |     |   193.8            |     |                 |00047 00022|
230025 |SY    Cir  |140333.8-693754 |RV        | 12.2    |  15.0      |            |p |25328.0     |     |    46.36           |     |                 |00047 00022|
230032 |TY    Cir  |140841.1-681455 |S:        | 12.5    |  13.5      |            |p |            |     |                    |     |                 |00047 00022|
230037 |UX    Cir  |141559.3-673909 |E         | 12.2    |  13.3      |            |p |            |     |                    |     |                 |00047 00022|
230039 |UZ    Cir *|142052.1-673056 |M         | 11.1    |  15.8      |            |p |21700.      |     |   538.             |     |                 |00047 00022|
230041 |VW    Cir  |142153.9-662234 |SRB       | 10.5    |  12.1      |            |p |14750.      |     |   206.             |47   |M2e              |00047 00022|
230042 |VX    Cir *|142308.4-695735 |M         | 11.0    |< 16.5      |            |p |25370.      |     |   417.             |     |M7e              |00047 00022|
230043 |VY    Cir  |142423.2-695758 |E/SD:     | 11.7    |  13.0      |            |p |            |     |                    |     |                 |00047 00022|
230050 |XY    Cir  |143103.9-663854 |E         | 12.1    |  13.0      |            |p |            |     |                    |     |                 |00047 00022|
230058 |AD    Cir  |144133.1-682316 |LB:       | 10.9    |  12.4      |            |p |            |     |                    |     |M5               |00016 00022|
230059 |AE    Cir  |144451.3-692335 |RCB       | 12.2    |  16.0  :   |            |p |            |     |                    |     |                 |00047 08129|
230061 |AG    Cir  |144722.8-675530 |S:        | 12.5    |  13.5      |            |p |            |     |                    |     |                 |00047 00022|
230070 |AQ    Cir *|143719.8-644524 |E/KE      | 11.0    |  11.7      |            |p |28656.350   |     |     0.57284        |     |OB               |00016 CPD  |
230072 |AS    Cir  |151339.5-602018 |SR:       | 12.     |< 13.5      |            |p |            |     |                    |     |C                |00085 04256|
230073 |AT    Cir *|140338.2-664407 |EA/DM     |  8.4    |   8.8      |            |p |15221.517   |     |     3.257494       |15   |A5IV/V           |08040 06871|
230074 |AU    Cir  |144345.3-664213 |EA/SD     | 10.7    |  11.9      |            |V |28334.225   |     |     2.0660680      |14  *|                 |04183 CPD  |
230075 |AV    Cir  |145030.3-672951 |DCEP      |  8.0    |   8.6      |            |p |38206.05    |     |     3.0651         |40   |F7II             |04383 08953|
230076 |AW    Cir  |145011.0-643243 |EA/SD:    | 12.     |  13.5      |            |p |            |     |                    |     |                 |06561 06561|
230077 |AX    Cir *|145235.3-634835 |DCEP      |  5.65   |   6.09     |            |V |38199.54    |     |     5.273268       |32   |F2-G2II+B4       |05060 CPD  |
230080 |BB    Cir  |144257.5-581824 |EA/SD:    |  9.4    |  10.2      |            |p |38195.225   |     |     3.0872         |     |A2IV             |05137 08953|
230082 |BD    Cir *|145105.4-555500 |EA/KE:    |  9.4    |   9.9      |   9.5      |p |38205.310   |     |     0.86956        |18   |                 |04430 08953|
230084 |BF    Cir *|150232.0-645742 |EB/DM:    |  8.8    |   9.2      |   8.9      |p |38199.345   |     |     6.458997       |     |B5V              |08040 08667|
230085 |BG    Cir *|150421.5-660504 |EB/DM     |  9.6    |  10.3      |  10.3      |p |34365.525   |     |     1.911485       |     |ea               |03922 08667|
230091 |BN    Cir *|151750.4-594342 |E         |  9.2    |   9.6      |            |p |38233.250   |     |     6.7125         |     |B9III/IV         |06336 06336|
230092 |BO    Cir  |144600.4-652300 |DSCTC     |  9.73   |(  0.02    )|            |V |43584.120   |     |     0.1412         |40   |Fm               |08391 CPD  |
230093 |BP    Cir  |144642.0-612743 |CEP       |  7.54   |(  0.33    )|            |V |            |     |     2.3984         |42   |F2/3II           |02873 CPD  |
230095 |BR    Cir *|152040.8-571000 |XF        |  7.21   |  11.38     |            |K |            |     |                    |     |e                |02936 02911|
230096 |BS    Cir  |142332.1-663842 |ACV       |  6.7    |(  0.14    )|            |V |            |     |     2.205          |     |A2p(Si-Cr)       |02590 CPD  |
230097 |BT    Cir  |144304.5-621226 |DSCTC     |  7.4    |(  0.01    )|            |V |            |     |                    |     |                 |67247 CPD  |
230098 |BU    Cir  |144511.0-553606 |BCEP      |  6.10   |(  0.02    )|            |V |            |     |                    |     |                 |67249 CPD  |
230099 |BV    Cir  |150102.2-643434 |DSCT      |  6.8    |(  0.10    )|            |V |            |     |                    |     |                 |67250 CPD  |
230102 |BY    Cir  |144453.5-635356 |N         |  7.2    |< 12.       |            |V |            |     |                    |     |                 |73108 73109|
230104 |CC    Cir  |151457.7-595030 |WR        | 11.71   |(  0.10    )|            |V |            |     |                    |     |                 |73112 73090|
230105 |CD    Cir  |134631.5-644032 |LB:       |  7.74   |   7.82     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230106 |CE    Cir  |140420.9-652458 |E:        |  7.94   |   8.06     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230107 |CF    Cir  |141303.5-652653 |WR        | 11.89   |  12.40     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230108 |CG    Cir  |143459.8-660150 |EA        | 10.34   |  10.76     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230109 |CH    Cir  |143535.1-684421 |ACV       |  7.72   |   7.78     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230110 |CI    Cir  |143555.0-695814 |LB        |  7.12   |   7.23     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230111 |CK    Cir  |143931.7-681212 |BE        |  6.81   |   6.89     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230112 |CL    Cir  |144404.1-562133 |EA        |  8.57   |   9.15     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230113 |CM    Cir  |144757.1-683111 |ACV       |  7.08   |   7.14     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230114 |CN    Cir  |144749.0-602526 |EB        |  8.92   |   9.18     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230115 |CO    Cir  |144844.5-663537 |BE        |  5.79   |   5.92     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230116 |CP    Cir  |145034.2-661534 |GCAS:     |  7.51   |   7.74     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230117 |CQ    Cir  |145050.3-601710 |BE        |  9.91   |  10.06     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230118 |CR    Cir  |145456.9-610433 |LC:       |  7.39   |   7.50     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230119 |CS    Cir  |145812.2-611404 |EB        |  8.95   |   9.14     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230120 |CT    Cir  |145841.2-575104 |SRB       |  8.11   |   8.30     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230121 |CU    Cir  |150730.1-604637 |BE        |  8.48   |   8.59     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230122 |CV    Cir  |150903.3-615315 |BE        |  6.90   |   7.03     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230123 |CW    Cir  |151516.2-581022 |BE        |  7.95   |   8.16     |            |V |            |     |                    |     |                 |HIP   HIP  |
230124 |CX    Cir  |151524.1-590429 |ACYG:     |  8.04   |   8.23     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230125 |CY    Cir  |152013.0-572353 |LB        |  6.98   |   7.14     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230126 |CZ    Cir  |152220.1-590850 |ACYG:     |  7.92   |   8.02     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
230127 |DD    Cir  |142323.4-690845 |NA        |  7.5    |< 21.       |            |V |            |     |                    |     |                 |75292 75293|
230129 |DF    Cir  |141751.4-680249 |RS        |  7.54   |(  0.08    )|            |V |            |     |     0.646          |     |F5V              |78046 DM   |
230131 |DH    Cir  |134255.1-652242 |SRB       | 12.1    |  12.9      |            |V |            |     |    55.             |     |                 |79064 GSC  |
230132 |DI    Cir  |140149.5-644917 |EA        | 11.30   |  11.70     |  11.36     |V |52720.688   |     |     1.44876        |14   |                 |79003 79099|
230133 |DK    Cir *|144712.7-574038 |EA        |  7.68   |   7.98     |   7.77     |V |52776.748   |     |    18.569          |03 : |A1IV             |79011 DM   |
230134 |DL    Cir  |144808.1-603409 |EA        | 12.30   |  13.85     |  12.45     |V |52643.849   |     |     2.43419        |10   |                 |79018 79087|
230135 |DM    Cir  |152408.5-565015 |EW        |  9.99   |  10.51     |  10.43     |V |53011.851   |     |     0.386773       |     |F7/G0            |79018 DM   |
230136 |DN    Cir  |135129.2-654656 |M         |  5.82   |   7.60     |            |K |            |     |   690.             |     |C                |80166 2MASS| NL80_2
230137 |DO    Cir  |135203.6-673056 |M         |  3.03   |   4.70     |            |K |            |     |   500.             |     |C                |80166 2MASS| NL80_2
230141 |DS    Cir  |141856.4-691427 |SRB       | 11.5    |  12.2      |            |V |            |     |    81.             |     |                 |80001 GSC  | NL80_2
230143 |DU    Cir  |142436.7-653750 |M         | 11.7    |  16.7      |            |R |53454.      |     |   270.          :  |     |                 |80001 2MASS| NL80_2
230144 |DV    Cir  |143848.7-684849 |M         | 10.2    |< 14.3      |            |V |54691.      |     |   352.             |     |Me               |80399 80399| NL80_2
230146 |DX    Cir  |144043.7-645307 |M:        | 11.8    |< 13.4      |            |V |53741.      |     |   273.             |     |                 |80001 2MASS| NL80_2
230147 |DY    Cir  |144313.8-570845 |M         |  5.74   |   6.24     |            |K |            |     |   488.             |     |C                |80166 2MASS| NL80_2
230148 |DZ    Cir  |144426.3-633328 |M         |  7.20   |   9.63     |            |K |            |     |   643.             |     |C                |80166 2MASS| NL80_2
230149 |EE    Cir  |144548.6-634551 |M         | 11.7    |< 14.6      |            |V |54493.      |     |   372.             |     |                 |80399 80399| NL80_2
230152 |EH    Cir  |144804.2-572037 |M         |  7.87   |  10.12     |            |K |            |     |   723.             |     |C                |80166 2MASS| NL80_2
230153 |EI    Cir  |144916.9-663923 |M         | 11.8    |< 14.4      |            |V |54480.      |     |   385.             |     |                 |80399 80399| NL80_2
230155 |EL    Cir *|144941.0-674812 |M         | 11.2    |< 14.0      |            |V |53831.      |     |   232.             |     |                 |80399 80399| NL80_2
230157 |EN    Cir  |145152.0-685512 |M         | 11.8    |< 14.6      |            |V |54499.      |     |   439.             |     |                 |80399 80399| NL80_2
230158 |EO    Cir  |145310.7-640034 |M         | 12.3    |< 15.8      |            |V |54543.      |     |   256.             |     |                 |80399 80399| NL80_2
230162 |ES    Cir  |150012.9-625403 |DSCT      | 10.52   |  11.22     |            |V |            |     |     0.101565       |19   |                 |80358 DM   | NL80_2
230163 |ET    Cir  |150125.4-654424 |M         | 12.3    |< 14.9      |            |V |55085.      |     |   437.             |     |                 |80002 2MASS| NL80_2
230164 |EU    Cir  |150356.6-641343 |M         | 12.3    |< 14.5      |            |V |54705.      |     |   239.             |     |M5-M7            |80399 80399| NL80_2
230165 |EV    Cir  |150546.5-582255 |DCEP      | 11.9    |  13.1      |            |V |53054.7     |     |    16.7018         |25   |                 |80326 GSC  | NL80_2
230167 |EX    Cir  |151214.6-571328 |M         |  6.17   |   8.63     |            |K |            |     |   948.             |     |                 |80166 2MASS| NL80_2
230168 |EY    Cir  |151335.3-635334 |SRB       |  7.70   |   8.30     |            |V |            |     |    58.0            |     |M5III            |80001 DM   | NL80_2
239001 |alf   Cir  |144230.4-645831 |ACVO      |  3.18   |   3.21     |            |V |            |     |                    |     |                 |67251 CPD  |
