010004 |U     And  |011529.7+404308 |M         |  9.0    |  15.0      |V |49564.      |     |   347.7            |40   |M6e              |00001 00002|
210110 |CI    Cet  |001713.2-140633 |ACV:      |  9.46   |   9.52     |Hp|            |     |                    |     |                 |HIP   HIP  |
210111 |CK    Cet  |002257.0-203924 |EB        | 10.41   |  10.74     |Hp|            |     |                    |     |                 |HIP   HIP  |
210112 |CL    Cet *|002904.1-171301 |RRC:      |  9.88   |  10.00     |Hp|            |     |                    |     |                 |HIP   HIP  |
210113 |CM    Cet  |003314.3-104343 |LB:       |  9.58   |   9.73     |Hp|            |     |                    |     |                 |HIP   HIP  |
210114 |CN    Cet  |004010.0-085553 |EA:       |  9.10   |   9.74     |Hp|            |     |                    |     |                 |HIP   HIP  |
210116 |CP    Cet  |005800.4-223544 |SRD       |  8.57   |   8.63     |Hp|            |     |                    |     |                 |HIP   HIP  |
210120 |CT    Cet  |010945.8-201259 |EW        |  9.41   |   9.59     |Hp|            |     |                    |     |                 |HIP   HIP  |
210121 |CU    Cet  |012037.1-082453 |SRB       |  8.66   |   9.70     |Hp|            |     |                    |     |                 |HIP   HIP  |
210122 |CV    Cet  |012236.2-045612 |SRB       |  9.23   |   9.65     |Hp|            |     |                    |     |                 |HIP   HIP  |
210123 |CW    Cet  |012330.2-135527 |RR:       |  8.40   |   8.49     |Hp|            |     |                    |     |                 |HIP   HIP  |
210124 |CX    Cet  |013028.1-173359 |E:        |  9.60   |  10.22     |Hp|            |     |                    |     |                 |HIP   HIP  |
210129 |DF    Cet  |014731.4-075237 |LB:       |  8.55   |   8.66     |Hp|            |     |                    |     |                 |HIP   HIP  |
210130 |DG    Cet  |015037.3-045715 |E         |  9.03   |   9.49     |Hp|            |     |                    |     |                 |HIP   HIP  |
210131 |DH    Cet  |015034.0-173900 |SR        |  9.31   |   9.93     |Hp|            |     |                    |     |                 |HIP   HIP  |
210132 |DI    Cet  |015128.3-152719 |SRD       |  9.42   |   9.72     |Hp|            |     |                    |     |                 |HIP   HIP  |
210133 |DK    Cet  |015749.0-215405 |BY:       |  8.16   |   8.28     |Hp|            |     |                    |     |                 |HIP   HIP  |
210134 |DL    Cet  |015911.3+013644 |SRB       | 11.29   |  11.76     |Hp|            |     |                    |     |                 |HIP   HIP  |
210136 |DN    Cet  |020646.6+035415 |SRB       |  8.51   |   8.72     |Hp|            |     |                    |     |                 |HIP   HIP  |
210140 |DR    Cet  |021622.9+030611 |SRB       |  9.14   |   9.35     |Hp|            |     |                    |     |                 |HIP   HIP  |
210141 |DS    Cet  |021609.3-210030 |EA:       |  8.97   |   9.34     |Hp|            |     |                    |     |                 |HIP   HIP  |
210142 |DT    Cet  |022537.8+084318 |EB:       |  9.15   |   9.27     |Hp|            |     |                    |     |                 |HIP   HIP  |
210143 |DU    Cet  |023305.1+100814 |LB:       | 10.08   |  10.32     |Hp|            |     |                    |     |                 |HIP   HIP  |
210144 |DV    Cet  |023352.7-060020 |LB:       |  8.35   |   8.45     |Hp|            |     |                    |     |                 |HIP   HIP  |
210145 |DW    Cet  |023440.5-024740 |SRB       |  8.47   |   8.63     |Hp|            |     |                    |     |                 |HIP   HIP  |
210147 |DY    Cet  |023833.2-141757 |EW        |  9.54   |  10.12     |Hp|            |     |                    |     |                 |HIP   HIP  |
210149 |EE    Cet *|024952.4+085623 |EW        |  8.78   |   9.03     |Hp|            |     |                    |     |                 |HIP   HIP  |
210153 |EI    Cet  |030138.0+021006 |ACV:      |  9.07   |   9.16     |Hp|            |     |                    |     |                 |HIP   HIP  |
210156 |EM    Cet  |032237.9-003142 |EA:       |  9.75   |  10.09     |Hp|            |     |                    |     |                 |HIP   HIP  |
210168 |EY    Cet  |014058.8-052413 |BY        |  8.50   |(  0.03    )|V |            |     |     9.17           |     |G0               |78018 DM   |
210180 |FQ    Cet  |021218.7-133042 |EA        | 10.4    |(  0.1     )|V |50185.5067  |     |     6.709914       |     |                 |78036 DM   |
210183 |FT    Cet  |023641.8-030922 |BY        |  8.10   |(  0.04    )|V |            |     |    11.784          |     |K0V              |78018 DM   |
210188 |FY    Cet  |013547.9-112229 |SRB       |  9.4    |  10.9      |V |            |     |   212.             |     |M0               |79100 79096|
210191 |GH    Cet  |015649.9-211144 |EA        | 10.52   |  11.20     |V |51876.593   |     |     1.135238       |12   |                 |79011 DM   |
210194 |GL    Cet  |001159.8-243358 |SRB       |  9.7    |  10.9      |V |            |     |   101.             |    |M6                |80002 GSC  | NL80
210195 |GM    Cet  |001244.9-110118 |SRB       |  9.0    |  10.7      |V |            |     |   215.             |    |M5                |80001 DM   | NL80
210196 |GN    Cet  |002431.5-095404 |LB        | 10.3    |  11.0      |V |            |     |                    |    |M6                |80001 DM   | NL80
210198 |GP    Cet  |003655.1-055227 |EA        |  9.81   |  10.26     |V |51466.870   |     |     3.4885         |12  |F0V               |80048 DM   | NL80
210200 |GR    Cet *|004716.0-194144 |EW        | 11.21   |  11.59     |V |51868.031   |     |     0.488810       |    |FO                |80036 DM   | NL80
210218 |HR    Cet  |024236.2+071726 |RS        |  8.83   |   9.10     |V |            |     |    52.84           |    |K0                |80034 DM   | NL80
210219 |HS    Cet  |024644.5+010755 |EA        | 10.5    |  11.1      |V |53381.240   |     |     3.6910         |08  |                  |80002 DM   | NL80
210223 |HW    Cet  |031234.3+094457 |RS        | 10.10   |  10.52     |V |            |     |     6.209          |    |                  |80034 DM   | NL80
220003 |T     Cha *|115713.5-792132 |INSB      | 10.09   |  14.0      |V |            |     |                    |     |F5               |02412 03508|
220004 |U     Cha  |134826.7-823927 |M         | 11.0    |< 13.5      |p |23210.      |     |   341.3            |     |                 |00031 GSC  |
220007 |X     Cha  |103822.5-804646 |M         | 10.8    |  17.       |p |            |     |                    |     |Me               |00085 02385|
220008 |Y     Cha  |112536.5-770035 |M         | 11.3    |  16.       |p |            |     |                    |     |Me               |00085 02385|
220009 |Z     Cha *|080728.2-763201 |UGSU+EA   | 11.5    |  16.23     |V |            |     |(  104.1          ) |     |pec(UG)          |06494 08852|
220013 |RU    Cha  |101429.9-811944 |M         | 11.4    |  16.2      |p |            |     |                    |     |                 |08727 04001|
220018 |RZ    Cha *|104224.1-820214 |EA/DM     |  8.2    |   9.1      |p |41401.7711  |     |     2.832084       |11  *|F5+F5V           |04302 CPD  |
220032 |TY    Cha  |110206.4-815312 |M         | 11.5    |< 16.5      |p |            |     |                    |     |                 |04001 04001|
220053 |YZ    Cha *|113409.1-774434 |EA/DM     | 11.15   |(  0.4     )|B |42145.881   |     |     4.457357       |     |A0               |07002 04001|
220110 |CI    Cha  |110721.4-814737 |LB:       |  8.82   |   8.95     |V |            |     |                    |     |C                |06353 CPD  |
220111 |CK    Cha  |113323.8-772722 |M         | 11.     |< 13.1      |p |            |     |                    |     |Me               |04001 05254|
220118 |CR    Cha  |105907.0-770140 |INB       | 11.20   |  11.37     |V |            |     |                    |     |K2e              |06415 06415|
220121 |CU    Cha  |110803.3-773917 |INA       |  8.38   |   8.48     |V |            |     |                    |     |B9-A0Vpe         |08378 06415|
220122 |CV    Cha  |111227.7-764422 |INB       | 10.93   |  10.98     |V |            |     |                    |     |G8e(T:)          |06415 06415|
220132 |DI    Cha  |110720.7-773807 |INT       | 10.65   |  10.74     |V |            |     |                    |     |                 |70037 70009|
220133 |DK    Cha  |125317.1-770711 |INA       |  9.28   |  11.15     |J |            |     |                    |     |                 |72057 72058|
220135 |DM    Cha  |085924.6-780533 |SRB       |  8.22   |   8.36     |Hp|            |     |                    |     |                 |HIP   HIP  |
220141 |DS    Cha  |111641.4-791553 |LB:       |  8.96   |   9.09     |Hp|            |     |                    |     |                 |HIP   HIP  |
220142 |DT    Cha  |114436.1-774903 |LB:       |  8.56   |   8.66     |Hp|            |     |                    |     |                 |HIP   HIP  |
220144 |DV    Cha  |114930.6-760932 |ACV       |  9.93   |  10.07     |Hp|            |     |                    |     |                 |HIP   HIP  |
220145 |DW    Cha  |115828.2-775430 |BY:       | 10.64   |  10.83     |Hp|            |     |                    |     |                 |HIP   HIP  |
220151 |EG    Cha  |083656.2-785646 |INT       | 10.61   |(  0.07    )|V |            |     |                    |     |                 |77073 77074|
220156 |EM    Cha  |084307.1-790453 |INT       | 10.84   |(  0.05    )|V |            |     |                    |     |                 |77073 77074|
220159 |EP    Cha  |084701.6-785934 |INT       | 11.13   |(  0.19    )|V |            |     |                    |     |                 |77073 77074|
220165 |EV    Cha  |133252.5-761222 |M         | 11.1    |  14.0      |V |52731       |     |   166.             |     |Me               |78090 78133|
220166 |EW    Cha  |091402.6-821312 |EA        |  8.60   |   8.91     |V |52658.760   |     |     3.81876        |05   |A1V              |79011 DM   |
220167 |EX    Cha  |093325.7-785255 |M         | 11.2    |< 15.0      |V |52404.      |     |   238.             |     |                 |79064 79076|
220169 |EZ    Cha  |103909.0-775722 |LB        |  9.0    |  10.3      |V |            |     |                    |     |Mc               |79100 DM   |
220170 |FF    Cha  |104644.9-802614 |LB        |  9.6    |  10.7      |V |            |     |                    |     |                 |79100 79082|
220173 |FI    Cha  |110743.7-773941 |INT       |  8.22   |   8.39     |Ks|            |     |                    |     |M0.5e            |79088 79085|
220175 |FL    Cha  |110839.0-771604 |INT       |  8.83   |   9.22     |Ks|            |     |                    |     |K8e              |79088 79085|
220176 |FM    Cha  |110953.4-763426 |INT       |  9.22   |  10.20     |J |            |     |                    |     |K4-K6e           |79088 79085|
220177 |FN    Cha  |111004.7-763545 |INT       |  9.12   |   9.32     |Ks|            |     |                    |     |M0e              |79088 79088|
220178 |FO    Cha *|111049.6-771752 |INT       |  9.20   |   9.42     |Ks|            |     |                    |     |K7e              |79088 79085|
220179 |FP    Cha  |112405.9-755449 |SRA       | 11.3    |  12.6  :   |V |53774.      |     |   234.             |     |                 |79072 79063|
220180 |FQ    Cha  |113011.0-780703 |SRB       | 11.4    |  13.3      |V |            |     |   177.             |     |                 |79100 79063|
220181 |FR    Cha  |113522.8-815050 |SRB       | 11.3    |  12.6      |V |            |     |   144.             |     |                 |79100 79063|
220184 |FU    Cha  |120059.3-794600 |SRB       | 10.6    |  11.3      |V |            |     |    70.7            |     |                 |79064 79063|
220185 |FV    Cha  |123333.9-822628 |SRB       |  9.92   |  10.18     |V |            |     |    26.5            |     |                 |79064 79063|
220189 |FZ    Cha  |130423.1-792738 |LB        | 11.1    |  12.3      |V |            |     |                    |     |                 |79100 79063|
220191 |GH    Cha  |132927.8-790704 |SRB       |  9.2    |  10.1      |V |            |     |   280.             |     |                 |79100 DM   |
230001 |R     Cir  |152753.6-574335 |SRB       | 10.2    |  12.1      |p |            |     |   222.             |     |M4/6III          |00023 08953|
230002 |S     Cir *|152917.5-580443 |EA/DS     | 10.8    |  12.1      |p |29117.474   |     |     9.976596       |15   |A:               |00007 CoD  |
230003 |T     Cir *|134324.0-652832 |EA/SD     |  9.3    |  10.6      |p |29095.586   |     |     3.2984345      |13   |B6/8II/III       |00007 06965|
230005 |V     Cir *|144454.7-570156 |EB/DM     | 10.8    |  11.3      |p |38499.325   |     |     4.40901        |     |                 |08040 CPD  |
230008 |Y     Cir  |133909.9-650211 |E/SD:     | 10.8    |  11.8      |p |25327.50    |     |     3.17           |     |                 |00047 00022|
230039 |UZ    Cir *|142052.1-673056 |M         | 11.1    |  15.8      |p |21700.      |     |   538.             |     |                 |00047 00022|
230041 |VW    Cir  |142153.9-662234 |SRB       | 10.5    |  12.1      |p |14750.      |     |   206.             |47   |M2e              |00047 00022|
230042 |VX    Cir *|142308.4-695735 |M         | 11.0    |< 16.5      |p |25370.      |     |   417.             |     |M7e              |00047 00022|
230058 |AD    Cir  |144133.1-682316 |LB:       | 10.9    |  12.4      |p |            |     |                    |     |M5               |00016 00022|
230070 |AQ    Cir *|143719.8-644524 |E/KE      | 11.0    |  11.7      |p |28656.350   |     |     0.57284        |     |OB               |00016 CPD  |
230073 |AT    Cir *|140338.2-664407 |EA/DM     |  8.4    |   8.8      |p |15221.517   |     |     3.257494       |15   |A5IV/V           |08040 06871|
230074 |AU    Cir  |144345.3-664213 |EA/SD     | 10.7    |  11.9      |V |28334.225   |     |     2.0660680      |14  *|                 |04183 CPD  |
230080 |BB    Cir  |144257.5-581824 |EA/SD:    |  9.4    |  10.2      |p |38195.225   |     |     3.0872         |     |A2IV             |05137 08953|
230082 |BD    Cir *|145105.4-555500 |EA/KE:    |  9.4    |   9.9      |p |38205.310   |     |     0.86956        |18   |                 |04430 08953|
230084 |BF    Cir *|150232.0-645742 |EB/DM:    |  8.8    |   9.2      |p |38199.345   |     |     6.458997       |     |B5V              |08040 08667|
230085 |BG    Cir *|150421.5-660504 |EB/DM     |  9.6    |  10.3      |p |34365.525   |     |     1.911485       |     |ea               |03922 08667|
230091 |BN    Cir *|151750.4-594342 |E         |  9.2    |   9.6      |p |38233.250   |     |     6.7125         |     |B9III/IV         |06336 06336|
230092 |BO    Cir  |144600.4-652300 |DSCTC     |  9.73   |(  0.02    )|V |43584.120   |     |     0.1412         |40   |Fm               |08391 CPD  |
230108 |CG    Cir  |143459.8-660150 |EA        | 10.34   |  10.76     |Hp|            |     |                    |     |                 |HIP   HIP  |
230112 |CL    Cir  |144404.1-562133 |EA        |  8.57   |   9.15     |Hp|            |     |                    |     |                 |HIP   HIP  |
230114 |CN    Cir  |144749.0-602526 |EB        |  8.92   |   9.18     |Hp|            |     |                    |     |                 |HIP   HIP  |
230117 |CQ    Cir  |145050.3-601710 |BE        |  9.91   |  10.06     |Hp|            |     |                    |     |                 |HIP   HIP  |
230119 |CS    Cir  |145812.2-611404 |EB        |  8.95   |   9.14     |Hp|            |     |                    |     |                 |HIP   HIP  |
230120 |CT    Cir  |145841.2-575104 |SRB       |  8.11   |   8.30     |Hp|            |     |                    |     |                 |HIP   HIP  |
230121 |CU    Cir  |150730.1-604637 |BE        |  8.48   |   8.59     |Hp|            |     |                    |     |                 |HIP   HIP  |
230124 |CX    Cir  |151524.1-590429 |ACYG:     |  8.04   |   8.23     |Hp|            |     |                    |     |                 |HIP   HIP  |
230132 |DI    Cir  |140149.5-644917 |EA        | 11.30   |  11.70     |V |52720.688   |     |     1.44876        |14   |                 |79003 79099|
230135 |DM    Cir  |152408.5-565015 |EW        |  9.99   |  10.51     |V |53011.851   |     |     0.386773       |     |F7/G0            |79018 DM   |
240002 |S     Col  |054656.3-314128 |M         |  8.9    |  14.2      |V |40559.      |     |   325.85           |46   |M6e-M8           |00001 00002|
240004 |U     Col *|061453.1-330423 |EA/SD     | 10.4    |  11.0      |p |28521.774   |     |     1.24617466     |16   |A                |00007 08953|
240005 |V     Col  |061013.8-304549 |M         | 10.4    |< 15.       |p |14980.      |     |   300.             |     |Me               |00213 08953|
240006 |W     Col  |062751.9-400558 |M         |  9.3    |< 11.5      |p |15411.      |     |   327.             |     |M6e              |00213 08953|
240007 |X     Col  |052612.6-285021 |M         | 11.     |< 13.       |p |29500.      |     |   321.9            |     |                 |01004 2MASS|
240010 |RR    Col  |063319.0-351753 |EA        | 10.2    |  10.7      |p |14277.3     |     |    11.305       :/N|     |                 |00215 08953|
240011 |RS    Col *|051531.2-284502 |EW/DW     |  9.54   |   9.99     |V |40612.6483  |     |     0.672355       |    *|G+G              |00001 08953|
240013 |RU    Col  |053450.8-302515 |EA/SD:    | 10.9    |  12.0      |p |28862.429  :|     |                    |     |                 |00016 03389|
240014 |RV    Col  |053544.2-304935 |SRD       |  9.3    |  10.3      |p |27800.      |     |   105.7            |40 : |G5               |00016 03389|
240015 |RW    Col  |060338.6-313525 |RRAB      | 11.5    |  12.5      |p |27808.515   |     |     0.529234       |15   |                 |00016 02338|
240016 |RX    Col  |061314.7-371501 |RRAB      | 11.4    |  12.6      |p |28812.567   |     |     0.594043       |     |                 |00016 02338|
240017 |RY    Col *|051507.8-413742 |RRAB      | 10.44   |  11.24     |V |34310.565   |     |     0.4788571      |15   |A7-F3            |03126 06286|
240018 |RZ    Col *|051954.1-355406 |EW/KE     | 11.0    |  11.58     |V |34326.2824  |     |     0.56522725     |     |                 |04826 04004|
240020 |ST    Col  |055903.9-392727 |EA        | 11.     |  11.5      |p |            |     |                    |     |                 |06561 06561|
240021 |SU    Col  |050747.0-335154 |RRAB      | 11.3    |  12.3      |p |            |     |                    |     |A2II             |      CoD  |
240022 |SV    Col  |053854.0-333756 |EA/SD:    | 11.4    |  12.2      |p |38708.300   |     |     3.6218         |     |                 |05532 05532|
240026 |SZ    Col  |050847.0-343101 |LB:       |  9.4    |  10.1      |p |            |     |                    |     |M6               |00085 CoD  |
240032 |TY    Col  |055750.8-380403 |RS        |  9.57   |   9.64     |V |            |     |                    |     |                 |71106 GSC  |
240033 |TZ    Col  |055216.0-283925 |RS        |  9.05   |(  0.06    )|V |            |     |                    |     |                 |72060 CoD  |
240037 |UX    Col  |052856.5-332816 |RS:       | 10.53   |  10.61     |V |            |     |                    |     |                 |73103 CoD  |
240038 |UY    Col  |055941.4-303954 |DSCT      |  8.95   |   9.12     |V |            |     |                    |     |                 |73114 CoD  |
240039 |UZ    Col  |050706.2-374202 |LB:       |  8.59   |   8.74     |Hp|            |     |                    |     |                 |HIP   HIP  |
240040 |VV    Col  |050915.1-381314 |LB        |  9.34   |   9.61     |Hp|            |     |                    |     |                 |HIP   HIP  |
240041 |VW    Col *|051800.4-272927 |EA        |  9.24   |  10.33     |Hp|            |     |                    |     |                 |HIP   HIP  |
240042 |VX    Col  |051803.4-300009 |LB:       |  8.48   |   8.58     |Hp|            |     |                    |     |                 |HIP   HIP  |
240044 |VZ    Col  |053014.0-424150 |BY:       |  9.77   |   9.91     |Hp|            |     |                    |     |                 |HIP   HIP  |
240045 |WW    Col  |053415.9-362601 |LB:       |  9.52   |   9.65     |Hp|            |     |                    |     |                 |HIP   HIP  |
240046 |WX    Col  |053712.9-424256 |RS:       |  9.36   |   9.48     |Hp|            |     |                    |     |                 |HIP   HIP  |
240047 |WY    Col  |053930.0-363359 |LB:       |  9.19   |   9.30     |Hp|            |     |                    |     |                 |HIP   HIP  |
240050 |XY    Col  |054610.2-352349 |LB:       |  8.94   |   9.10     |Hp|            |     |                    |     |                 |HIP   HIP  |
240051 |XZ    Col  |054812.8-331353 |LB:       |  9.17   |   9.27     |Hp|            |     |                    |     |                 |HIP   HIP  |
240052 |YY    Col  |054905.2-282247 |SRD       |  8.47   |   8.64     |Hp|            |     |                    |     |                 |HIP   HIP  |
240053 |YZ    Col  |055121.4-415742 |SRD       |  9.06   |   9.23     |Hp|            |     |                    |     |                 |HIP   HIP  |
240054 |ZZ    Col  |055239.5-364253 |SRB       |  8.68   |   8.85     |Hp|            |     |                    |     |                 |HIP   HIP  |
240055 |AA    Col  |055432.7-350506 |DSCTC     |  8.18   |   8.25     |Hp|            |     |                    |     |                 |HIP   HIP  |
240057 |AC    Col  |060430.7-340328 |SRD       |  8.58   |   9.09     |Hp|            |     |                    |     |                 |HIP   HIP  |
240061 |AG    Col  |061411.9-341518 |LB        |  8.78   |   9.10     |Hp|            |     |                    |     |                 |HIP   HIP  |
240063 |AI    Col  |062852.7-372029 |SRB       |  8.15   |   8.27     |Hp|            |     |                    |     |                 |HIP   HIP  |
240064 |AK    Col  |063143.4-343001 |EA        |  9.03   |   9.25     |Hp|            |     |                    |     |                 |HIP   HIP  |
240066 |AM    Col  |063753.6-341745 |LB        |  9.05   |   9.31     |Hp|            |     |                    |     |                 |HIP   HIP  |
240073 |AT    Col  |053705.3-393226 |BY        |  9.52   |   9.61     |V |            |     |     1.422          |     |K0V              |78046 DM   |
240077 |AX    Col  |063404.9-413232 |SRA       |  9.2    |  10.2      |V |53735.      |     |    96.5            |     |                 |79064 DM   |
240078 |AY    Col  |051908.4-374031 |EA/RS     | 10.46   |  11.0      |V |52867.708   |     |    17.943          |06  |G8III             |80048 DM   | NL80
240079 |AZ    Col *|052850.6-301013 |EW        | 11.30   |  11.66     |V |51868.163   |     |     0.302101       |    |                  |80036 DM   | NL80
250002 |S     Com *|123245.6+270145 |RRAB      | 10.89   |  12.13     |V |40654.641   |     |     0.5865907      |14   |A6-F7            |05917 00107|
250003 |T     Com *|125838.9+230821 |M         | 11.5    |  15.6      |B |33735.      |     |   406.             |     |M2:-M8-9eIII     |00114 00114|
250004 |U     Com *|124003.2+272956 |RRC       | 11.50   |  11.97     |V |24961.445   |     |     0.2927382      |35   |A8-F0            |00217 00107|
250006 |W     Com *|122131.7+281358 |BLLAC     | 11.5    |  17.5      |B |            |     |                    |     |cont             |06778 07696|
250015 |RW    Com *|123300.3+264258 |EW/KW     | 11.00   |  11.70     |V |40022.4163  |     |     0.2373459      |     |G2+G2            |08968 00107|
250018 |RZ    Com *|123505.1+232014 |EW/KW     | 10.42   |  11.13     |V |34837.4198  |     |     0.33850604     |     |K0+G9            |03580 00192|
250019 |SS    Com *|124939.1+184212 |EW/KW     | 11.3    |  11.9      |B |25002.510   |     |     0.4127919      |     |F5               |00192 00192|
250020 |ST    Com *|131751.3+204651 |RRAB      | 10.91   |  11.84     |V |43224.506   |     |     0.59892864     |19   |F2-F8            |00001 04948|
250023 |SW    Com  |120906.4+193514 |ISB:      | 10.8    |  12.0      |p |            |     |                    |     |G8-K3:           |00230 06286|
250025 |SY    Com  |121020.4+193039 |SR        | 10.6    |  11.68     |B |            |     |   175.5            |     |M4               |00231 01025|
250029 |TV    Com  |122757.9+184808 |LB        | 10.90   |  13.3      |B |            |     |                    |     |M2               |00233 BD   |
250030 |TW    Com  |121842.8+220549 |LB        |  9.44   |  10.1      |V |            |     |                    |     |K5               |00104 08953|
250037 |UX    Com *|130133.0+283754 |EA/AR/RS  |  9.96   |  10.52     |V |25798.328   |     |     3.642583       |08   |G2III            |08592 BD   |
250041 |VW    Com *|133244.6+164839 |UV        | 10.9    |  11.39     |V |            |     |                    |     |M4Ve             |02767 00664|
250104 |CC    Com *|121206.0+223159 |EW/KW     | 11.30   |  12.21     |V |39533.5830  |     |     0.22068628     |     |                 |05028 04341|
250174 |FK    Com *|133046.8+241358 |FKCOM     |  8.14   |   8.33     |V |42192.345   |     |     2.400          |40 : |G2eapnIII+K3V    |08343 BD   |
250177 |FN    Com  |121906.4+182121 |LB        | 10.7    |  11.0      |p |            |     |                    |     |                 |05264 04341|
250195 |GM    Com *|121224.9+272248 |DSCTC     |  8.06   |   8.14     |V |            |     |     0.208       :  |     |F5V              |06456 02979|
250225 |HY    Com  |121816.0+160916 |RRC       | 10.25   |  10.73     |V |            |     |                    |     |                 |67254 BD   |
250226 |HZ    Com  |122940.9+243115 |RS        |  9.71   |   9.81     |V |            |     |                    |     |                 |67255 BD   |
250229 |IL    Com  |122502.3+253338 |RS:       |  8.16   |(  0.04    )|V |            |     |                    |     |                 |68082 BD   |
250231 |IN    Com  |125533.7+255331 |R:/PN     |  8.7    |(  0.07    )|V |            |     |                    |     |                 |68084 68083|
250232 |IO    Com  |132103.6+222826 |EA        |  9.15   |   9.48     |V |            |     |                    |     |                 |70038 70038|
250241 |IX    Com  |122832.7+293524 |SRB       |  8.60   |   8.75     |Hp|            |     |                    |     |                 |HIP   HIP  |
250243 |IZ    Com  |123210.0+205509 |LB:       |  8.66   |   8.80     |Hp|            |     |                    |     |                 |HIP   HIP  |
250244 |KK    Com  |123231.1+210603 |EB:       |  9.54   |   9.77     |Hp|            |     |                    |     |                 |HIP   HIP  |
250246 |KM    Com  |123851.5+134814 |LB        |  8.25   |   9.00     |Hp|            |     |                    |     |                 |HIP   HIP  |
250247 |KN    Com  |124202.4+140934 |LB:       |  8.78   |   8.92     |Hp|            |     |                    |     |                 |HIP   HIP  |
250250 |KQ    Com  |124823.3+203813 |LB:       |  8.16   |   8.25     |Hp|            |     |                    |     |                 |HIP   HIP  |
250252 |KS    Com  |132947.7+274030 |LB        |  8.47   |   8.71     |Hp|            |     |                    |     |                 |HIP   HIP  |
250253 |KT    Com  |133350.2+172530 |CWB:      |  8.34   |   8.41     |Hp|            |     |                    |     |                 |HIP   HIP  |
250266 |LR    Com  |124506.9+213933 |EA        | 10.8    |  11.7      |V |            |     |                    |     |                 |77004 GSC  |
250268 |LT    Com  |125241.8+261638 |EB        | 10.53   |  10.74     |V |            |     |                    |     |                 |77104 DM   |
250270 |LV    Com  |120750.9+185656 |BY        |  9.16   |(  0.03    )|V |            |     |     5.5            |     |K2V              |78018 DM   |
250272 |LX    Com  |125138.4+253032 |BY        |  9.09   |(  0.05    )|V |            |     |     7.74           |     |K1Ve             |78018 DM   |
250283 |MU    Com  |132953.1+253904 |SRB       | 11.0    |  11.5      |V |            |     |    90.2            |     |                 |79064 79196|
260001 |R     CrA *|190153.7-365708 |INSA      | 10.0    |  14.36     |B |            |     |                    |     |A5IIpe           |08962 08961|
260002 |S     CrA *|190108.6-365720 |INT       | 10.49   |  13.2      |V |            |     |                    |     |Ge(T)            |08962 08961|
260004 |U     CrA  |184107.0-375011 |M         |  9.9    |  14.3      |p |33175.      |     |   147.50           |42   |M2Ibe            |01004 08613|
260005 |V     CrA *|184732.3-380932 |RCB       |  8.3    |< 16.5      |V |            |     |                    |     |C(R0)            |08140 08613|
260006 |W     CrA  |180512.2-392033 |SRB       | 11.0    |  13.1      |p |            |     |   125.          :  |     |C0-3(R4)         |00236 CoD  |
260007 |X     CrA  |180959.5-452449 |SRB       | 10.8    |  12.7      |p |            |     |   324.          :  |     |MC               |00235 03206|
260009 |Z     CrA  |183104.2-445808 |M         | 11.0    |< 12.9      |p |11189.      |     |   303.             |     |M6e              |00237 2MASS|
260010 |RR    CrA  |180557.1-381512 |M         |  9.8    |< 14.0      |p |29050.      |     |   280.10           |     |M2e-M7II-IIIe    |01004 06286|
260011 |RS    CrA *|190315.1-393423 |M:        | 10.0    |< 13.0      |p |            |     |                    |     |                 |08963 08953|
260012 |RT    CrA  |184533.0-384650 |M         | 11.0    |< 13.5      |p |10223.      |     |   218.             |     |                 |00237 08613|
260013 |RU    CrA  |191723.4-393647 |L:        |  9.8    |  12.4      |p |            |     |                    |     |                 |00016 08953|
260015 |RW    CrA *|175920.3-375253 |EA/SD     |  9.3    |  10.3      |p |31017.297   |     |     1.6835995      |18   |A0               |00240 00024|
260016 |RX    CrA  |182628.1-441754 |M         | 10.6    |< 15.       |p |11862.      |     |   285.9            |     |M3e              |00016 CoD  |
260018 |RZ    CrA  |190837.3-422133 |M         |  9.9    |< 13.5      |p |28744.      |     |   460.          :  |     |M6e              |00016 08953|
260032 |TY    CrA *|190140.8-365234 |EA        |  9.39   |   9.81     |V |42954.29    |     |     2.888777       |06   |B9Vea            |08965 08961|
260033 |TZ    CrA *|181848.2-432137 |EA/SD     |  9.6    |  10.33     |V |36080.035   |     |     0.68674954     |20  *|A1III/IV         |02487 08087|
260034 |UU    CrA *|184045.9-421429 |EA/SD     | 10.9    |  11.6      |p |16208.865   |     |     2.2379960      |21   |A0               |02196 CoD  |
260037 |UX    CrA *|185731.8-374758 |M         | 10.9    |< 17.0      |p |27160.      |     |   347.5            |     |M(6:)e           |00235 GSC  |
260046 |WX    CrA  |180850.5-371943 |RCB       | 11.0    |< 16.5      |p |            |     |                    |     |C(R5)            |08140 08087|
260052 |YY    CrA  |184115.1-370234 |M         | 10.8    |  16.5      |p |36804.      |     |   125.88           |39   |M3Ibe            |00001 08613|
260065 |AL    CrA *|181511.5-370652 |CWA       | 11.46   |  12.58     |V |35124.375   |     |    17.060          |47   |                 |00046 04151|
260066 |AM    CrA  |184115.5-372905 |SR        |  8.6    |  12.7      |p |            |     |   187.5         :  |     |M3e              |00235 08613|
260114 |CN    CrA  |185128.0-411518 |M         | 11.4    |< 14.5      |p |26270.      |     |   214.             |     |M1e              |00255 UCAC2|
260236 |IS    CrA  |181937.1-380407 |EA/SD     | 10.9    |  12.2      |p |31293.214   |     |     3.236580       |12  *|A2               |03513 03513|
