#
#   VizieR Astronomical Server vizier.ast.cam.ac.uk	2012-01-25T18:18:02 [V1.80]
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VIZ4f2046835ed	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_7189
#Name: VII/189
#Title: Catalog of Pulsars (Taylor+ 1995)
#Table	VII_189_table1:
#Name: VII/189/table1
#Title: Observed and Derived parameters (tables 1, 2 and 4 of the publication)
#Column	_RAJ2000	(A11)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A11)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	Jname	(a12)	J2000 pulsar name	[ucd=meta.id;meta.main]
#Column	dist	(F8.2)	Adopted distance of pulsar in kpc	[ucd=pos.distance]
#Column	P	(F19.16)	Barycentric period in seconds	[ucd=time.period]
#Column	ntype	(I6)	Octal code for pulsar type	[ucd=src.class]
#Column	We	(F10.2)	Equivalent width of the integrated pulse profile in ms	[ucd=src.var.pulse]
#Column	w50	(F10.2)	Profile width at 50% of peak in ms	[ucd=src.var.pulse]
#Column	s400	(F8.2)	Time averaged flux density at 400MHz in mJy	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	s600	(F8.2)	Time averaged flux density at 600MHz in mJy	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	s1400	(F8.2)	Time averaged flux density at 1400MHz in mJy	[ucd=phot.flux.density;em.radio.750-1500MHz]
_RAJ2000;_DEJ2000;Jname;dist;P;ntype;We;w50;s400;s600;s1400
11 30 23.00;-68 15 00.0;1130-6815   ;    7.24; 0.2563650000000000;     0;      0.00;     17.00;    8.60;    0.00;    0.00
11 33 51.45;-62 50 50.6;1133-6250   ;   30.00; 1.0228751408200001;     0;    152.00;    260.00;    0.00;   12.60;    8.00
11 36 03.12;+15 51 09.7;1136+1551   ;    0.27; 1.1879115360800001;     0;     18.20;     31.70;  257.00;  144.00;   32.00
11 36 02.12;-55 25 08.3;1136-5525   ;    2.60; 0.3647055762400000;     0;     18.00;     15.00;   23.00;   19.00;    4.00
11 37 51.00;-66 59 00.0;1137-6659   ;   19.67; 0.5562190000000000;     0;      0.00;     27.00;   10.00;    0.00;    1.10
11 40 40.00;-31 07 00.0;1140-3107   ;    2.78; 0.5384300000000000;     0;      0.00;     22.00;   10.00;    0.00;    0.00
11 41 42.00;-33 21 00.0;1141-3321   ;    3.84; 0.1457340000000000;     0;      0.00;      5.00;   10.00;    0.00;    0.00
11 42 47.00;-52 03 00.0;1142-5203   ;   10.77; 0.6756420000000000;     0;      0.00;     12.00;    7.00;    0.00;    0.30
11 46 07.74;-60 30 59.4;1146-6030   ;    2.62; 0.2733724298800000;     0;     16.00;     13.00;   17.00;   20.00;    7.00
11 56 39.00;-59 09 00.0;1156-5909   ;    8.76; 1.0379300000000000;     0;      0.00;     19.00;   14.00;    0.00;    0.00
11 57 15.24;-62 24 50.9;1157-6224   ;    9.50; 0.4005220483400000;     0;     17.00;     17.00;  145.00;    0.00;   10.00
12 02 28.40;-58 20 33.4;1202-5820   ;    4.96; 0.4528005081950000;     0;     13.00;     13.00;   23.00;    0.00;    2.00
12 09 51.00;-55 56 00.0;1209-5556   ;   11.83; 0.2797670000000000;     0;      0.00;      7.50;   23.00;    0.00;    2.10
12 24 22.18;-64 07 53.9;1224-6407   ;    2.29; 0.2164748142970000;     0;      5.50;      5.00;   48.00;    0.00;    5.00
12 25 44.00;-56 00 00.0;1225-5600   ;    5.28; 0.3394830000000000;     0;      0.00;     20.00;    5.00;    0.00;    0.40
12 25 42.80;-64 08 43.2;1225-6408   ;   24.82; 0.4196177915000000;     0;     24.00;     15.00;   11.00;    0.00;    1.20
12 35 18.91;-55 16 31.2;1235-5517   ;    3.88; 0.6382338100000000;     0;     40.00;     44.00;    4.50;    0.00;    1.00
12 38 21.00;+21 54 00.0;1238+21     ;    1.77; 1.1183600000000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
12 39 40.36;+24 53 49.9;1239+2453   ;    0.56; 1.3824492566850000;     0;     25.00;     51.10;  110.00;   47.00;   10.00
12 39 58.96;-68 32 27.7;1239-6832   ;    2.98; 1.3019081138999999;     0;     25.00;     24.00;    6.50;    0.00;    0.00
12 40 17.61;-41 24 51.7;1240-4124   ;    3.59; 0.5122420931800000;     0;     10.00;     10.00;    3.50;    0.00;    0.00
12 43 17.16;-64 23 23.9;1243-6423   ;   12.20; 0.3884809210410000;     0;     11.00;     10.00;  110.00;    0.00;   13.00
12 46 38.00;+22 53 00.0;1246+22     ;    1.77; 0.4738300000000000;     0;      0.00;     21.00;   29.00;    0.00;    0.00
12 53 20.00;-58 19 00.0;1253-5819   ;    2.97; 0.2554960000000000;     0;      0.00;      8.30;   20.00;    0.00;    6.90
12 57 04.77;-10 27 05.4;1257-1027   ;    2.22; 0.6173075608450000;     0;      0.00;      6.00;   12.00;    5.60;    1.20
12 59 22.72;-67 41 39.9;1259-6741   ;    2.74; 0.6633290494000000;     0;     15.00;     14.00;    4.50;    0.00;    0.00
13 00 03.05;+12 40 56.7;1300+1240   ;    0.62; 0.0062185319388187;    70;      0.00;      0.58;   20.00;    0.00;    1.00
13 02 47.68;-63 50 08.6;1302-6350   ;    4.60; 0.0477623381594000;   110;      0.00;      6.00;    0.00;    4.00;    4.60
13 05 23.66;-64 55 26.3;1305-6455   ;   30.00; 0.5716469444000000;     0;     45.00;     22.00;   29.00;   15.00;    2.00
13 06 38.19;-66 17 21.8;1306-6617   ;   29.14; 0.4730264706890000;     0;     32.00;     28.00;    0.00;   12.10;    5.00
13 11 52.66;-12 28 00.7;1311-1228   ;    2.30; 0.4475176658490000;     0;      0.00;      6.70;    4.00;    2.40;    0.50
13 12 54.97;+18 10 08.5;1312+1810   ;   18.90; 0.0331631660000000;    51;      0.00;      3.20;    1.00;    0.00;    0.00
13 12 04.64;-54 02 42.3;1312-5402   ;    9.68; 0.7281542173000000;     0;     33.00;     33.00;   15.00;    0.00;    0.00
13 12 53.83;-55 16 47.1;1312-5516   ;    6.76; 0.8492356848000000;     0;     28.00;     23.00;   16.00;   17.00;    0.00
13 19 20.29;-60 56 46.7;1319-6056   ;   12.63; 0.2843513930410000;     0;     15.00;     14.00;    0.00;    7.60;    1.50
13 20 53.92;-53 59 06.4;1320-5359   ;    4.23; 0.2797291472440000;     0;     13.00;      8.00;   18.00;   15.00;    0.00
13 21 45.89;+83 23 39.3;1321+8323   ;    0.77; 0.6700373936410000;     0;      0.00;     19.60;   11.00;    6.00;    0.90
13 21 06.00;-35 09 00.0;1321-3509   ;    1.25; 0.4584880000000000;     0;      0.00;     25.00;    7.00;    0.00;    0.00
13 26 58.30;-58 59 29.8;1326-5859   ;    9.29; 0.4779896901000000;     0;     90.00;      9.00;  120.00;   55.00;   10.00
13 26 32.56;-64 08 43.5;1326-6408   ;   15.94; 0.7926701073000000;     0;     50.00;     19.00;   18.00;    0.00;    1.60
13 26 03.25;-67 00 51.1;1326-6700   ;    8.62; 0.5430085792000000;     0;     58.00;     60.00;   28.00;    0.00;    0.00
13 27 17.21;-62 22 43.0;1327-6222   ;    6.61; 0.5299062943000000;     0;     14.00;     11.00;  135.00;    0.00;   12.00
13 27 07.47;-63 01 15.4;1327-6301   ;    6.50; 0.1964786641830000;     0;     14.00;      9.00;    0.00;   12.00;    3.40
13 28 06.49;-43 57 44.2;1328-4357   ;    2.29; 0.5326988033700000;     4;     18.00;     11.00;   18.00;    0.00;    2.00
13 28 33.58;-49 21 33.4;1328-4921   ;    7.78; 1.4787213559000001;     0;     30.00;     20.00;   11.00;    0.00;    0.00
13 32 45.00;-30 33 00.0;1332-3033   ;    1.07; 0.6504470000000000;     0;      0.00;     25.00;    3.00;    0.00;    0.00
13 34 11.00;-58 39 00.0;1334-5839   ;    3.88; 0.1077180000000000;     0;      0.00;      6.00;   18.00;    0.00;    1.20
13 35 36.00;-36 42 00.0;1335-3642   ;    4.11; 0.3991920000000000;     0;      0.00;      8.70;   10.00;    0.00;    0.00
13 38 09.35;-62 04 18.7;1338-6204   ;    8.14; 1.2389895765000001;     0;     99.00;     88.00;    0.00;    6.50;    6.00
13 40 00.32;-64 56 42.9;1340-6456   ;    1.93; 0.3786220662800000;     0;     14.00;     13.00;    9.00;    0.00;    1.10
13 41 42.54;-62 20 25.2;1341-6220   ;    8.66; 0.1932921194000000;     6;      0.00;     11.00;    0.00;    0.00;    2.00
13 55 58.68;-51 53 53.8;1355-5153   ;    6.48; 0.6443010962200000;     0;     13.00;     12.00;   12.00;    0.00;    0.00
13 56 42.00;-55 21 00.0;1356-5521   ;    8.74; 0.5073800000000001;     0;      0.00;     18.00;   12.00;    0.00;    1.50
13 57 25.38;-62 27 37.3;1357-6228   ;    6.90; 0.4557610000000000;     0;     25.00;     22.00;    0.00;    0.00;    6.00
13 58 42.00;-25 33 00.0;1358-2533   ;    2.70; 0.9129000000000000;     0;      0.00;     30.00;    6.00;    0.00;    0.00
13 59 58.22;-60 38 08.0;1359-6038   ;    5.91; 0.1275007768500000;     0;     34.00;      5.50;  105.00;    0.00;    7.00
14 01 52.48;-63 57 45.5;1401-6357   ;    2.60; 0.8427896323700000;     0;     13.00;     11.00;   34.00;   16.00;    4.00
14 02 56.85;-51 24 25.0;1402-5124   ;    1.52; 1.3801770000000000;     0;     25.00;     15.00;   10.00;    0.00;    0.00
14 13 31.32;-63 07 35.5;1413-6307   ;    3.68; 0.3949457907840000;     0;     13.00;      6.00;    0.00;    3.70;    2.10
14 19 22.00;-39 20 00.0;1419-3920   ;    5.04; 1.0967800000000001;     0;      0.00;     31.00;   24.00;    0.00;    1.40
14 20 29.15;-54 16 22.8;1420-5416   ;    4.90; 0.9357719221000000;     0;     26.00;     25.00;    9.00;    0.00;    0.00
14 28 26.30;-55 30 50.2;1428-5530   ;    2.29; 0.5702904628620000;     0;     19.00;     15.00;   35.00;   22.00;    2.00
14 30 40.81;-66 23 05.3;1430-6623   ;    1.80; 0.7854407573240000;     0;     17.00;     17.00;  130.00;    0.00;    6.00
14 40 31.31;-63 44 47.6;1440-6344   ;    4.03; 0.4596053638500000;     0;     14.00;     13.00;   21.00;    0.00;    1.60
14 53 32.71;-64 13 15.9;1453-6413   ;    1.84; 0.1794838939250000;     0;      5.00;      4.50;  230.00;    0.00;   16.00
14 55 47.97;-33 30 46.2;1455-3330   ;    0.74; 0.0079872047933700;    70;      0.00;      0.80;   13.00;    0.00;    0.00
14 56 00.04;-68 43 38.9;1456-6843   ;    0.45; 0.2633767786540000;     0;     14.00;     12.50;  350.00;    0.00;   80.00
14 57 40.19;-51 22 53.2;1457-5122   ;    1.37; 1.7483010801000001;     0;     24.00;     14.00;    4.00;    0.00;    0.00
15 06 39.52;-51 58 10.4;1506-5158   ;    1.67; 0.8407385450000000;     0;     16.00;     14.00;    5.00;    0.00;    0.00
15 07 34.18;-43 52 03.2;1507-4352   ;    1.79; 0.2867570452200000;     0;      8.20;      9.20;   16.00;    0.00;    0.00
15 07 48.66;-66 40 57.1;1507-6640   ;    5.61; 0.3556549011700000;     0;     11.00;     11.00;   13.00;    0.00;    0.00
15 09 25.65;+55 31 32.4;1509+5531   ;    1.93; 0.7396812656680000;     0;     13.00;     10.90;  114.00;   37.00;    8.00
15 10 48.92;-44 22 06.8;1510-4422   ;    4.22; 0.9438712975000000;     0;     50.00;     50.00;   14.00;    0.00;    0.00
15 12 43.03;-57 59 59.8;1512-5759   ;   12.69; 0.1286941484480000;     0;     12.00;     10.00;    0.00;   11.80;    4.00
15 13 55.62;-59 08 08.9;1513-5908   ;    4.40; 0.1506575509200000;   202;      0.00;     14.00;    1.50;    0.00;    1.40
15 14 14.56;-48 34 19.5;1514-4834   ;    1.59; 0.4548392094900000;     0;     13.00;     12.00;    8.50;    0.00;    0.00
15 18 33.84;+02 04 57.9;1518+0204B  ;    7.00; 0.0079469410000000;    71;      0.00;      0.00;    0.50;    0.00;    0.00
15 18 33.31;+02 05 27.9;1518+0205A  ;    7.00; 0.0055535925220000;    61;      0.00;      0.00;    0.90;    0.00;    0.00
15 18 16.60;+49 04 35.0;1518+4904   ;    0.70; 0.0409349883300000;    50;      0.00;      0.00;    0.00;    0.00;    0.00
15 22 42.27;-58 29 02.7;1522-5829   ;    4.47; 0.3953528599010000;     0;     18.00;     17.00;    0.00;   12.40;    6.00
15 27 58.93;-39 31 34.7;1527-3931   ;    2.01; 2.4175822701000000;     0;     44.00;     44.00;   11.00;    0.00;    0.00
15 27 40.89;-55 52 06.7;1527-5552   ;    7.07; 1.0487048865999999;     0;     42.00;     26.00;   17.00;    0.00;    1.40
15 32 10.29;+27 45 50.6;1532+2745   ;    0.97; 1.1248355211000001;     0;     27.00;     25.70;   13.00;    6.00;    0.80
15 34 08.37;-53 34 19.3;1534-5334   ;    1.13; 1.3688809092100001;     0;     26.00;     22.00;   70.00;    0.00;    3.00
15 34 33.59;-54 05 39.7;1534-5405   ;    4.27; 0.2896888952000000;     0;     18.00;     13.00;    0.00;    6.60;    1.30
15 37 09.95;+11 55 56.1;1537+1155   ;    0.68; 0.0379044403665000;    50;      0.00;      0.70;   36.00;    0.00;    0.00
15 39 13.96;-56 26 25.4;1539-5626   ;    4.01; 0.2433922004000000;     4;     12.00;     11.00;    0.00;    7.30;    6.00
15 42 48.00;-50 34 00.0;1542-5034   ;    2.54; 0.5992400000000000;     0;      0.00;      5.80;   21.00;    0.00;    1.30
15 43 38.81;+09 29 16.9;1543+0929   ;    2.46; 0.7484484036470000;     0;     75.00;     46.20;   78.00;   32.00;    5.90
15 43 30.20;-06 20 46.1;1543-0620   ;    1.16; 0.7090639906680000;     0;      9.80;      8.10;   40.00;   11.00;    2.00
15 44 59.84;-53 08 46.5;1544-5308   ;    1.29; 0.1785537996880000;     0;     10.00;      8.00;   23.00;    0.00;    8.00
15 49 40.00;+21 10 00.0;1549+2110   ;    2.33; 1.2624712199999999;     0;      0.00;      0.00;    0.00;    0.00;    0.00
15 49 18.00;-48 48 00.0;1549-4848   ;    1.55; 0.2883470000000000;     0;      0.00;      7.20;   17.00;    0.00;    1.90
15 53 59.57;-54 56 05.9;1553-5456   ;    4.41; 1.0813282469000001;     0;     56.00;     52.00;   13.00;    0.00;    1.00
15 55 33.16;-23 41 11.4;1555-2341   ;    4.61; 0.5325776503680000;     0;     15.00;     10.80;    7.60;    4.90;    0.90
15 55 17.97;-31 34 19.6;1555-3134   ;    6.10; 0.5181097717800000;     0;     14.00;     27.00;   19.00;   13.00;    1.40
15 56 49.00;-42 58 00.0;1556-4258   ;    7.67; 0.3291860000000000;     0;      0.00;      9.00;   40.00;    0.00;    5.10
15 59 41.48;-44 38 45.3;1559-4438   ;    1.63; 0.2570557235210000;     0;      7.00;      6.00;  110.00;    0.00;   40.00
15 59 21.33;-55 45 40.0;1559-5545   ;    5.04; 0.9572424424000000;     0;     24.00;     19.00;   15.00;    0.00;    1.10
16 00 53.07;-50 44 21.2;1600-5044   ;    6.30; 0.1925983189080000;     0;      4.00;      3.80;    0.00;    0.00;   15.00
16 00 19.93;-57 51 14.7;1600-5751   ;    5.34; 0.1944544822470000;     0;     17.00;     15.00;   20.00;    0.00;    3.00
16 02 19.01;-51 00 04.2;1602-5100   ;    6.30; 0.8642020784000000;     0;     21.00;     21.00;   45.00;    0.00;    6.00
16 03 01.00;-25 31 00.0;1603-2531   ;    4.31; 0.2830700000000000;     0;      0.00;      7.90;   15.00;    0.00;    0.00
16 03 08.54;-27 12 26.9;1603-2712   ;    2.58; 0.7783117400000000;     0;     19.00;     20.00;   20.00;   12.40;    1.70
16 04 22.95;-49 09 57.1;1604-4909   ;    3.59; 0.3274172879770000;     0;     11.00;      5.00;   44.00;    0.00;    4.00
16 05 16.26;-52 57 34.3;1605-5257   ;    1.24; 0.6580131007000000;     0;     45.00;     62.00;   30.00;   29.00;   10.00
16 07 12.12;-00 32 40.4;1607-0032   ;    0.59; 0.4218162718266000;     0;     11.50;     12.50;   54.00;   26.00;    5.00
16 10 42.76;-13 22 19.4;1610-1322   ;    3.89; 1.0183926744400000;     0;      0.00;     37.60;   16.00;    7.00;    0.00
16 11 03.20;-52 09 23.6;1611-5209   ;    3.34; 0.1824916592880000;     0;      6.00;      3.00;    0.00;    2.70;    1.30
16 13 29.03;-47 14 25.8;1613-4714   ;    3.90; 0.3823759527800000;     0;     17.00;     14.00;   17.00;    0.00;    1.80
16 14 40.98;+07 37 31.8;1614+0737   ;    1.50; 1.2068002120000001;     0;     14.00;     11.90;    9.60;    2.90;    0.60
16 14 15.42;-50 47 18.5;1614-5047   ;    7.26; 0.2316017632200000;     0;     17.00;     13.00;    0.00;    0.00;    2.50
16 15 52.76;-29 40 03.9;1615-2940   ;    1.66; 2.4775673220000001;     0;     30.00;     25.70;    3.10;    2.20;    0.00
16 15 00.00;-39 36 00.0;1615-3936   ;    9.67; 0.4072930000000000;     0;      0.00;     19.00;   12.00;    0.00;    0.00
16 15 40.43;-55 37 00.5;1615-5537   ;    3.57; 0.7915257156200000;     0;     23.00;     11.00;    0.00;    3.40;    0.40
16 22 47.00;-43 34 00.0;1622-4334   ;    8.07; 0.9169079999999999;     0;      0.00;     37.00;   13.00;    0.00;    0.00
16 23 17.70;-09 08 48.1;1623-0908   ;    3.86; 1.2764457452700000;     0;     20.00;     14.70;    6.00;    3.40;    0.60
16 23 38.22;-26 31 53.7;1623-2631   ;    1.80; 0.0110757508764400;    71;      1.00;      2.30;   15.00;    5.00;    1.10
16 23 48.34;-42 56 52.4;1623-4256   ;   21.85; 0.3645903553000000;     0;     52.00;     12.00;   24.00;    0.00;    2.20
16 25 39.00;-40 50 00.0;1625-4050   ;    5.12; 2.3550000000000000;     0;      0.00;     25.00;   17.00;    0.00;    0.00
16 27 18.76;+14 19 20.7;1627+1419   ;    2.84; 0.4908567300960000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
16 30 37.47;-47 33 05.0;1630-4733   ;    6.54; 0.5759714115500000;     0;     82.00;     66.00;    0.00;    0.00;    4.40
16 33 47.05;-44 53 07.8;1633-4453   ;   12.02; 0.4365066971580000;     0;     18.00;     12.00;    0.00;    4.00;    2.00
16 33 00.10;-50 15 08.1;1633-5015   ;    7.02; 0.3521423800180000;     0;     13.00;      9.00;    0.00;   25.30;    6.00
16 35 25.78;+24 18 47.8;1635+2418   ;    2.09; 0.4905064853530000;     0;      0.00;     17.40;    9.10;    3.40;    0.40
16 35 09.08;-59 54 40.5;1635-5954   ;    7.26; 0.5291212568500000;     0;     16.00;     13.00;    7.00;    0.00;    0.00
16 37 58.71;-45 53 27.3;1637-4553   ;    3.83; 0.1187713928329000;     0;      7.00;      5.00;    0.00;    1.60;    1.40
16 39 21.20;-46 04 33.1;1639-4604   ;    4.64; 0.2645579256020000;     0;     18.00;     14.00;    0.00;    4.70;    1.20
16 40 16.74;+22 24 09.0;1640+2224   ;    1.18; 0.0031633158173403;    70;      0.00;      0.00;    0.00;    0.00;    0.00
16 40 13.19;-47 15 35.3;1640-4715   ;    7.25; 0.5174048346700000;     0;     34.00;     21.00;    0.00;    0.00;    1.30
16 41 40.88;+36 27 15.4;1641+3627A  ;    7.70; 0.0103775094520000;    61;      0.00;      1.20;    3.00;    0.00;    0.00
16 41 41.24;+36 27 36.5;1641+3627B  ;    7.70; 0.0035280000000000;    71;      0.00;      0.00;    0.00;    0.00;    0.00
16 43 38.15;-12 24 58.7;1643-1224   ;    4.86; 0.0046216414447800;    70;      0.00;      1.30;   75.00;    0.00;    3.10
16 44 49.25;-45 59 09.1;1644-4559   ;    5.30; 0.4550597754030000;     4;      9.20;      8.20;  375.00;    0.00;  310.00
16 45 34.42;+10 12 16.0;1645+1012   ;    3.27; 0.4108607193790000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
16 45 02.13;-03 17 59.1;1645-0317   ;    2.90; 0.3876887913500000;     0;      4.00;      4.20;  393.00;  173.00;   21.00
16 46 51.29;-43 46 37.8;1646-4346   ;    6.85; 0.2316033293000000;     0;     21.00;     15.00;    0.00;    0.00;    1.40
16 46 54.75;-68 31 50.6;1646-6831   ;    1.80; 1.7856112395999999;     0;     78.00;     88.00;   23.00;   12.00;    2.00
16 48 02.00;-32 56 00.0;1648-3256   ;    5.37; 0.7194500000000000;     0;      0.00;     17.00;   11.00;    0.00;    1.00
16 49 44.20;+25 33 07.0;1649+2533   ;    2.91; 1.0152572760000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
16 50 22.00;-16 54 00.0;1650-1654   ;    2.38; 1.7495300000000000;     0;      0.00;     33.00;   13.00;    0.00;    1.60
16 51 31.76;-17 09 20.0;1651-1709   ;    1.51; 0.9733920810100000;     0;     19.00;     27.40;    9.00;    4.20;    0.30
16 51 48.79;-42 46 11.2;1651-4246   ;    7.21; 0.8440806659600000;     0;    340.00;    110.00;  100.00;    0.00;   10.00
16 51 42.97;-52 22 58.2;1651-5222   ;    6.39; 0.6350559764700000;     0;     19.00;     16.00;   23.00;    0.00;    2.00
16 51 41.23;-52 55 47.6;1651-5255   ;    5.99; 0.8905339578000000;     0;     32.00;     28.00;   12.00;    0.00;    0.00
16 52 03.00;+26 51 40.0;1652+2651   ;    2.93; 0.9158033665000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
16 52 58.43;-24 04 03.3;1652-2404   ;    3.09; 1.7037390395700001;     0;     36.00;     35.10;    9.20;    4.90;    1.10
16 53 39.80;-38 38 20.8;1653-3838   ;    5.12; 0.3050373188820000;     0;     11.00;      6.00;    0.00;    3.30;    2.10
16 54 41.00;-27 07 00.0;1654-2707   ;    3.97; 0.7918120000000000;     0;      0.00;     23.00;    7.00;    0.00;    0.00
16 59 53.07;-13 05 07.8;1659-1305   ;    4.44; 0.6409580048800000;     0;      0.00;      8.70;    6.30;    3.20;    0.00
17 00 36.00;-33 10 00.0;1700-3310   ;    6.00; 1.3583000000000001;     0;      0.00;     56.00;   21.00;    0.00;    0.00
17 01 18.54;-37 26 25.0;1701-3726   ;    7.83; 2.4546091590999999;     0;      0.00;      0.00;    0.00;   13.00;    2.40
17 01 29.15;-45 33 48.7;1701-4533   ;   17.34; 0.3229085667810000;     0;     25.00;     19.00;    0.00;    5.00;    2.30
17 03 51.07;-18 46 15.3;1703-1846   ;    1.98; 0.8043405523300000;     0;     20.00;     11.40;   11.00;    9.00;    0.70
17 03 22.54;-32 41 47.4;1703-3241   ;    3.31; 1.2117850020350001;     0;     43.00;     46.20;   32.00;    9.30;    6.00
17 03 00.00;-49 02 00.0;1703-4902   ;    4.47; 1.3965000000000001;     0;      0.00;     28.00;   22.00;    0.00;    0.00
17 04 14.82;-60 16 53.8;1704-6016   ;    1.89; 0.3063230254000000;     0;     60.00;     90.00;   23.00;   24.00;    0.00
17 05 36.11;-19 06 38.5;1705-1906   ;    1.18; 0.2989872836669000;   100;      8.30;      7.30;   29.00;   15.00;    8.00
17 05 15.00;-34 22 00.0;1705-3422   ;    3.75; 0.2554220000000000;     0;      0.00;     21.00;   31.00;    0.00;    0.00
17 07 21.74;-40 53 55.3;1707-4053   ;    5.12; 0.5810161538780000;     0;     36.00;     32.00;    0.00;    5.40;    9.00
17 08 02.54;-75 39 22.7;1708-7539   ;    2.01; 1.1910239966000000;     0;     25.00;     25.00;    2.50;    0.00;    0.00
17 09 26.60;-16 40 54.2;1709-1640   ;    1.27; 0.6530547189820000;     0;     11.00;     10.80;   47.00;   20.00;    4.00
17 09 02.00;-34 21 00.0;1709-3421   ;    4.75; 0.6921000000000000;     0;      0.00;     56.00;   36.00;    0.00;    2.40
17 09 42.17;-44 28 56.9;1709-4428   ;    1.82; 0.1024497493800000;   206;      8.00;      7.00;    0.00;   13.30;   10.00
17 11 55.06;-15 09 38.1;1711-1509   ;    2.78; 0.8688038835800000;     0;      0.00;     12.20;    5.90;    2.80;    0.70
17 11 53.12;-53 50 15.6;1711-5350   ;    4.24; 0.8992177993000000;     0;     17.00;     16.00;    9.00;    0.00;    0.00
17 13 49.53;+07 47 37.5;1713+0747   ;    1.10; 0.0045701365229179;    70;      0.00;      0.21;   36.00;    0.00;    3.00
17 17 20.15;-34 25 04.6;1717-3425   ;   22.12; 0.6562976569900000;     0;     21.00;     12.80;    0.00;    3.00;    2.40
17 17 20.52;-40 54 38.0;1717-4054   ;    5.43; 0.8877100000000000;     0;     30.00;     15.00;    0.00;    0.00;    1.00
17 19 01.72;-40 06 59.5;1719-4006   ;    6.29; 0.1890944925010000;     0;     12.00;      9.00;    0.00;    4.00;    1.50
17 20 01.30;+21 50 14.0;1720+2150   ;    3.59; 1.6156636285999999;     0;      0.00;      0.00;    0.00;    0.00;    0.00
17 20 57.26;-02 12 23.5;1720-0212   ;    5.43; 0.4777153039300000;     0;     55.00;     59.00;   22.00;   13.10;    1.00
17 20 25.18;-16 33 30.4;1720-1633   ;    1.69; 1.5655994315999999;     0;      0.00;     16.20;   13.00;    6.20;    1.10
17 20 34.15;-29 33 15.4;1720-2933   ;    1.43; 0.6204482698700000;     0;     30.00;     30.00;   32.00;   13.00;    1.90
17 21 01.92;-19 36 13.9;1721-1936   ;   11.60; 1.0040371290000001;    51;      0.00;     20.60;    0.50;    0.00;    0.30
17 21 32.80;-35 32 46.6;1721-3532   ;    6.36; 0.2804173419410000;     0;     34.00;     23.00;    0.00;    0.00;   10.00
17 22 02.96;-32 07 44.9;1722-3207   ;    3.18; 0.4771574338858000;     0;     12.00;     17.40;   61.00;   27.00;    3.70
17 22 09.82;-36 32 53.3;1722-3632   ;    5.30; 0.3991833517580000;     0;     21.00;     22.00;    0.00;    3.60;    2.00
17 22 59.17;-37 12 03.7;1722-3712   ;    2.51; 0.2361731916360000;   100;     12.00;      4.50;   25.00;    0.00;    2.00
17 28 34.80;-00 07 47.0;1728-0007   ;    2.21; 0.3860050636000000;     0;      0.00;     14.40;   11.00;    4.10;    0.00
17 30 21.62;-23 04 21.6;1730-2304   ;    0.51; 0.0081227979109200;    60;      0.00;      0.70;   43.00;    0.00;    4.70
17 30 32.62;-33 50 42.6;1730-3350   ;    4.24; 0.1394473206240000;     4;     10.00;      3.60;    9.20;    0.00;    2.90
17 31 41.99;-47 44 33.0;1731-4744   ;    4.87; 0.8297236414800000;     0;     19.00;     20.00;  190.00;    0.00;   12.00
17 32 50.02;-41 28 48.2;1732-4128   ;    5.93; 0.6279806844000000;     0;     28.00;     22.00;    9.00;    0.00;    0.00
17 33 26.42;-22 28 36.4;1733-2228   ;    1.49; 0.8716828319140000;     0;     35.00;     12.20;   25.00;   14.00;    2.20
17 33 26.75;-37 16 54.6;1733-3716   ;    3.45; 0.3375858231800000;     0;     18.00;     42.00;    0.00;    3.20;    2.60
17 34 45.69;-02 12 33.8;1734-0212   ;    5.02; 0.8393860273000000;     0;      0.00;      9.60;    5.70;    0.00;    0.00
17 35 04.97;-07 24 52.4;1735-0724   ;    4.33; 0.4193348081160000;     0;     12.00;      7.40;   18.00;   13.90;    1.70
17 36 54.00;+05 48 00.0;1736+05     ;    2.81; 0.9992450000000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
17 37 40.04;-35 55 43.8;1737-3555   ;    2.25; 0.3975847464410000;     0;     21.00;      5.40;    0.00;    2.00;    0.50
17 38 54.20;-32 11 53.2;1738-3211   ;    1.48; 0.7684987672500000;     0;      0.00;     18.90;    2.90;    3.10;    1.60
